Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
a,0,1.46,1.14,2,30,0.93,1041179,Article
a cappella,1,2.92,1.44,3,29,0.90,0,Err:512
aardvark,0,4.68,0.86,0,28,1.00,21,Noun
aback,0,1.65,1.07,4,27,0.85,15,Adverb
abacus,0,4.52,1.12,2,29,0.93,12,Noun
abandon,0,2.54,1.45,1,27,0.96,413,Verb
abandoned,0,2.52,1.27,0,29,1.00,678,Verb
abandonee,0,2.92,1.28,4,28,0.86,0,Err:512
abandoner,0,2.5,1.5,2,30,0.93,1,Noun
abandonment,0,2.54,1.29,0,28,1.00,49,Noun
abasement,0,1.67,1.01,2,26,0.92,0,Err:512
abatement,0,1.92,1.29,4,30,0.87,3,Noun
abbreviate,0,2.59,1.53,0,27,1.00,1,Verb
abbreviated,0,3.1,1.54,0,30,1.00,16,Adjective
abbreviation,0,3.07,1.51,0,29,1.00,12,Noun
abdicate,0,2.08,1.29,2,28,0.93,9,Verb
abdomen,0,4.7,0.67,0,27,1.00,171,Noun
abdominal,0,4.28,1.16,0,29,1.00,174,Adjective
abdominally,0,3.15,1.46,3,30,0.90,0,Err:512
abduct,0,2.88,1.51,2,28,0.93,36,Verb
abductee,0,3.27,1.44,0,30,1.00,20,Err:512
abduction,0,3.07,1.47,0,27,1.00,185,Noun
abductor,0,3.89,1.37,0,28,1.00,18,Noun
abhor,0,1.81,1.17,3,29,0.90,12,Verb
abhorrence,0,2.15,1.26,1,28,0.96,0,Err:512
abhorrently,0,2.04,1.32,2,29,0.93,0,Err:512
abhorring,0,1.68,0.8,4,29,0.86,0,Err:512
abide,0,1.68,0.86,0,28,1.00,138,Verb
abiding,0,2.07,1.13,0,29,1.00,25,Adjective
abidingly,0,1.82,0.94,2,30,0.93,0,Err:512
ability,0,1.81,0.88,0,27,1.00,980,Noun
abject,0,1.67,0.96,4,28,0.86,20,Adjective
ablaze,0,3.82,1.16,0,28,1.00,21,Adjective
able,0,2.38,1.42,1,27,0.96,8155,Adjective
ably,0,1.78,1.19,2,29,0.93,9,Adverb
abnormal,0,2.14,1.38,0,29,1.00,148,Adjective
abnormality,0,2.48,1.33,0,25,1.00,26,Noun
abnormally,0,1.75,0.84,0,28,1.00,20,Adverb
aboard,0,3.97,1.3,0,30,1.00,1358,Adverb
abode,0,3.92,1.38,2,26,0.92,33,Noun
abolish,0,2.19,1.17,0,26,1.00,24,Verb
abolishable,0,1.96,1.16,3,27,0.89,0,Err:512
abolisher,0,2.29,1.15,1,29,0.97,0,Err:512
abolishment,0,2.31,1.42,0,29,1.00,0,Err:512
