id_text,lemma
P270838,ana[to]PRP šarru[king]N bēlu[lord]N ilu[god]N Šamaš[1]DN qabû[say]V umma[saying]PRP Milk-ilu[1]PN wardu[slave]N eperu[earth]N ša[of]DET šēpu[foot]N ana[to]PRP šēpu[foot]N šarru[king]N bēlu[lord]N ilu[god]N Šamaš[1]DN 7-šu[NA]NA 7-ta₂-a-an[NA]NA maqātu[fall]V edû[know]V šarru[king]N bēlu[lord]N inūma[when]SBJ šalmu[intact]AJ ālu[city]N šarru[king]N bēlu[lord]N ša[that]REL paqādu[entrust]V ina[in]PRP qātu[hand]N u[and]CNJ awātu[word]N wabālu[carry]V šarru[king]N bēlu[lord]N ilu[god]N Šamaš[1]DN ešēru[be(come)-well]V u[and]CNJ anumma[now]AV wuššuru[exempt]AJ ina[in]PRP qātu[hand]N Haya[1]PN 46[NA]NA wardu[slave]N u[and]CNJ 5[NA]NA awīlu[man]N ṣuhāru[boy]N u[and]CNJ 5[NA]NA awīlu[man]N asīru[captive]N ana[to]PRP šarru[king]N bēlu[lord]N
P270861,ana[to]PRP Intaruta[1]PN awīlu[man]N Akšapa[Achshaph]GN qabû[say]V umma[saying]PRP šarru[king]N anumma[now]AV ṭuppu[(clay)-tablet]N annû[this]DP wabālu[carry]V qabû[say]V ana[to]PRP kâši[to-you]IP u[and]CNJ naṣāru[guard]V lū[let-it-be]MOD naṣru[guarded]AJ ašru[place]N šarru[king]N ša[that]REL itti[with]PRP anumma[now]AV šarru[king]N wašāru[sink-down]V Hanʾi[1]PN māru[son]N Maireya[1]PN waklu[overseer]N tarbaṣu[animal-stall]N ša[of]DET šarru[king]N ina[in]PRP Kinaʿanu[Canaan]GN u[and]CNJ ša[that]REL qabû[say]V šemû[hear]V damqiš[well]AV danniš[very]AV lā[not]MOD kašādu[reach]V šarru[king]N arnu[guilt]N awātu[word]N gabbu[totality]N ša[that]REL qabû[say]V šemû[hear]V damqiš[well]AV danniš[very]AV u[and]CNJ epēšu[do]V damqiš[well]AV danniš[very]AV u[and]CNJ naṣāru[guard]V naṣāru[guard]V lā[not]MOD mekû[neglect]V u[and]CNJ lū[let-it-be]MOD šūšuru[in-order]AJ ana[to]PRP pānu[front]N ṣābu[people]N piṭṭātu[archers]N šarru[king]N akalu[bread]N mādu[many]AJ karānu[vine]N gabbu[totality]N mimma[anything]XP mādu[many]AJ anumma[now]AV kašādu[reach]V arhiš[quickly]AV arhiš[quickly]AV u[and]CNJ nakāsu[cut]V qaqqadu[head]N ayyābu[enemy]N ša[of]DET šarru[king]N u[and]CNJ lū[let-it-be]MOD edû[know]V inūma[when]SBJ šalmu[intact]AJ šarru[king]N kīma[like]PRP Šamaš[1]DN ina[in]PRP šamû[sky]N šamû[sky]N ṣābu[people]N narkabtu[chariot]N mādu[many]AJ magal[very-(much)]AV šalmu[intact]AJ
P270863,x[NA]NA x-tim[NA]NA kīam[so]AV x[NA]NA x[NA]NA šalāmu[be(come)-healthy]V x-tim[NA]NA erēbu[enter]V x[NA]NA x[NA]NA ina[in]PRP pānu[front]N x[NA]NA x[NA]NA ša[of]DET ki-x[NA]NA
P270871,x[NA]NA x[NA]NA x[NA]NA x[NA]NA ru[NA]NA e-x[NA]NA x[NA]NA ma[NA]NA x[NA]NA x[NA]NA še[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA šemû[hear]V x[NA]NA x-ad-ši[NA]NA x[NA]NA x[NA]NA šemû[hear]V x[NA]NA x[NA]NA ad[NA]NA x-x[NA]NA x[NA]NA x[NA]NA
P270872,ana[to]PRP šarru[king]N bēlu[lord]N qabû[say]V umma[saying]PRP Zišamimi[1]PN wardu[slave]N ana[to]PRP šēpu[foot]N maqātu[fall]V 7[NA]NA u[and]CNJ 7[NA]NA maqātu[fall]V ana[to]PRP pānu[front]N šarru[king]N bēlu[lord]N hadû[joyful]AJ ālu[city]N ālu[city]N ša[that]REL itti[with]PRP u[and]CNJ amāru[see]V anāku[I]IP wardu[slave]N adi[until]PRP dārītu[perpetuity]N u[and]CNJ amāru[see]V anāku[I]IP wardu[slave]N u[and]CNJ māru[son]N u[and]CNJ amāru[see]V ālu[city]N ša[that]REL itti[with]PRP ālu[city]N šarru[king]N bēlu[lord]N u[and]CNJ šumma[if]MOD lā[not]MOD naṣāru[guard]V ālu[city]N u[and]CNJ ilu[god]N ša[that]REL itti[with]PRP qaqqadu[head]N mahāṣu[beat]V
P270873,Rib-Haddi[1]PN qabû[say]V ana[to]PRP šarru[king]N bēlu[lord]N ana[to]PRP šupālu[depression]N šēpu[foot]N bēlu[lord]N 7-ta[NA]NA u[and]CNJ 7[NA]NA maqātu[fall]V anumma[now]AV šemû[heard]AJ awātu[word]N šarru[king]N bēlu[lord]N u[and]CNJ hadû[joyful]AJ libbu[interior]N magal[very-(much)]AV hamāṭu[hasten]V bēlu[lord]N wašāru[sink-down]V ṣābu[people]N piṭṭātu[archers]N kīma[like]PRP arhiš[quickly]AV šumma[if]MOD šarru[king]N bēlu[lord]N lā[not]MOD wašāru[sink-down]V ṣābu[people]N piṭṭātu[archers]N u[and]CNJ nīnu[we]IP mâtu[die]V mâtu[die]V u[and]CNJ ālu[city]N Gublu[Byblos]GN leqû[take]V maggu[spread-out]AJ timāli[yesterday]AV šalšūmi[day-before-yesterday]AV maggu[spread-out]AJ inanna[now]AV timāli[yesterday]AV šalšūmi[day-before-yesterday]AV qabû[say]V yānu[(there)-is-not]V ṣābu[people]N piṭṭātu[archers]N u[and]CNJ šapāru[send]V u[and]CNJ waṣû[go-out]V ṣābu[people]N piṭṭātu[archers]N u[and]CNJ leqû[take]V abu[father]N anumma[now]AV inanna[now]AV qabû[say]V lā[not]MOD šapāru[send]V u[and]CNJ leqû[take]V u[and]CNJ anumma[now]AV buʾʾû[look-for]V ṣabātu[seize]V ālu[city]N Gublu[Byblos]GN u[and]CNJ qabû[say]V ṣabātu[seize]V nīnu[we]IP ālu[city]N Gublu[Byblos]GN u[and]CNJ dannu[strong]AJ amāru[see]V ṣabātu[seize]V šunu[they]IP ālu[city]N Gublu[Byblos]GN u[and]CNJ dannu[strong]AJ yānu[(there)-is-not]V awīlu[man]N lā[not]MOD wiāṣu[be(come)-too-little]V ana[to]PRP šâšunu[(to/of)-them]IP anumma[now]AV anāku[I]IP naṣāru[guard]V ālu[city]N Gublu[Byblos]GN ālu[city]N šarru[king]N mūšu[night]N urru[daytime]N inūma[when]SBJ kašādu[reach]V mātu[land]N u[and]CNJ paṭāru[loosen]V awīlūtu[humanity]N ana[to]PRP leqû[take]V mātu[land]N ana[to]PRP šâšunu[(to/of)-them]IP u[and]CNJ yānu[(there)-is-not]V awīlu[man]N ana[to]PRP naṣāru[guard]V ālu[city]N Gublu[Byblos]GN ālu[city]N šarru[king]N bēlu[lord]N u[and]CNJ hamāṭu[hasten]V bēlu[lord]N ṣābu[people]N piṭṭātu[archers]N ū[or]CNJ mâtu[die]V inūma[when]SBJ šaṭru[written]AJ bēlu[lord]N ana[to]PRP mahru[front]N u[and]CNJ anumma[now]AV u[and]CNJ edû[know]V inūma[when]SBJ mâtu[die]V u[and]CNJ buʾʾû[look-for]V epēšu[do]V arnu[guilt]N inūma[when]SBJ qabû[say]V ana[to]PRP pānu[front]N šarru[king]N mūtu[death]N mūtu[death]N ana[to]PRP mātu[land]N lā[not]MOD šemû[hear]V šarru[king]N bēlu[lord]N awātu[word]N awīlu[man]N šanû[(an)other]AJ yānu[(there)-is-not]V mūtānu[epidemic]N ana[to]PRP mātu[land]N šalmu[intact]AJ ištu[from]PRP pānānu[previously]AV u[and]CNJ bēlu[lord]N edû[know]V inūma[when]SBJ lā[not]MOD šapāru[send]V awātu[word]N kazbūtu[lies]N ana[to]PRP bēlu[lord]N u[and]CNJ gabbu[totality]N awīlu[man]N hazannu[mayor]N lā[not]MOD rāmu[(be)loved]AJ inūma[when]SBJ waṣû[go-out]V ṣābu[people]N piṭṭātu[archers]N inūma[when]SBJ pašhu[resting]AJ ana[to]PRP šunu[they]IP u[and]CNJ anāku[I]IP buʾʾû[look-for]V waṣû[go-out]V inūma[when]SBJ marṣu[sick]AJ yâši[to-me]IP u[and]CNJ waṣû[go-out]V šarru[king]N bēlu[lord]N amāru[see]V mātu[land]N u[and]CNJ leqû[take]V gabbu[totality]N amāru[see]V ana[to]PRP ūmu[day]N waṣû[go-out]V u[and]CNJ epēšu[do]V gabbu[totality]N mātu[land]N ana[to]PRP šarru[king]N bēlu[lord]N mīya[who?]QP izuzzu[stand]V ana[to]PRP pānu[front]N ṣābu[people]N šarru[king]N lā[not]MOD wašāru[sink-down]V šarru[king]N bēlu[lord]N šattu[year]N šattu[year]N annû[this]DP ana[to]PRP māru[son]N Abdi-Aširte[1]PN u[and]CNJ diāšu[tread-down]V māru[son]N gabbu[totality]N ana[to]PRP mātu[land]N šarru[king]N bēlu[lord]N mīya[who?]QP šunu[they]IP inūma[when]SBJ epēšu[do]V arnu[guilt]N u[and]CNJ dīku[killed]AJ sūkinu[commissar]N sūkinu[commissar]N Puwuru[1]PN
P270874,ana[to]PRP šarru[king]N bēlu[lord]N umma[saying]PRP Ayyab[1]PN wardu[slave]N ana[to]PRP šēpu[foot]N bēlu[lord]N 7-šu[NA]NA 7-ta-an[NA]NA maqātu[fall]V anāku[I]IP wardu[slave]N šarru[king]N bēlu[lord]N u[and]CNJ eperu[earth]N ša[of]DET 2[NA]NA šēpu[foot]N šemû[hear]V šapāru[send]V šarru[king]N bēlu[lord]N ana[to]PRP yâši[to-me]IP ina[in]PRP qātu[hand]N Atahmaya[1]PN adi[until]PRP naṣāru[guard]V magal[very-(much)]AV magal[very-(much)]AV ālu[city]N šarru[king]N bēlu[lord]N šanītu[something-other]N amāru[see]V awīlu[man]N Haṣura[Hazor]GN leqû[take]V 3[NA]NA ālu[city]N ištu[from]PRP yâši[to-me]IP ina[in]PRP ūmu[day]N šemû[hear]V u[and]CNJ amāru[see]V epēšu[do]V nukurtu[enmity]N ina[in]PRP šâšu[to-him]IP adi[until]PRP edû[know]V šarru[king]N bēlu[lord]N u[and]CNJ šarru[king]N bēlu[lord]N malāku[discuss]V ana[to]PRP wardu[slave]N
P270875,ana[to]PRP šarru[king]N bēlu[lord]N Šamaš[1]DN ilu[god]N qabû[say]V umma[saying]PRP Šuwardata[1]PN wardu[slave]N wardu[slave]N ša[of]DET šarru[king]N u[and]CNJ eperu[earth]N ša[of]DET 2[NA]NA šēpu[foot]N qaqqaru[ground]N ša[of]DET kabāsu[tread]V ana[to]PRP šēpu[foot]N šarru[king]N bēlu[lord]N Šamaš[1]DN ištu[from]PRP šamû[sky]N 7-šu[NA]NA 7-ta-a-an[NA]NA šukênu[prostrate-oneself]V u[and]CNJ kabattu[liver]N u[and]CNJ ṣēru[back]N lamādu[learn]V šarru[king]N bēlu[lord]N inūma[when]SBJ hāpiru[(class-of)-vagrant]N ša[that]REL našû[lift]V ina[in]PRP mātu[land]N nadnu[given]AJ ilu[god]N ša[of]DET šarru[king]N bēlu[lord]N ana[to]PRP yâši[to-me]IP u[and]CNJ dâku[kill]V u[and]CNJ lū[let-it-be]MOD lamādu[learn]V šarru[king]N bēlu[lord]N inūma[when]SBJ ezēbu[leave]V gabbu[totality]N ahu[brother]N u[and]CNJ anāku[I]IP u[and]CNJ IR₃-Heba[1]PN nukurtu[enmity]N ina[in]PRP hāpiru[(class-of)-vagrant]N u[and]CNJ Surata[1]PN awīlu[man]N ʿAkka[Akko]GN u[and]CNJ Intaruta[1]PN awīlu[man]N Akšapa[Achshaph]GN šunī[they-two]IP naʾarruru[go-to-assist]V ina[in]PRP 50[NA]NA narkabtu[chariot]N ana[to]PRP muhhu[skull]N u[and]CNJ anumma[now]AV bašû[be(come)-at-hand]V itti[with]PRP ina[in]PRP nukurtu[enmity]N u[and]CNJ tarāṣu[be(come)-in-order]V ina[in]PRP pānu[front]N šarru[king]N bēlu[lord]N u[and]CNJ lū[let-it-be]MOD wašāru[sink-down]V Yanhamu[1]PN u[and]CNJ lū[let-it-be]MOD epēšu[do]V gabbu[totality]N nukurtu[enmity]N u[and]CNJ lū[let-it-be]MOD târu[turn]V mātu[land]N ša[of]DET šarru[king]N bēlu[lord]N ana[to]PRP pāṭu[border]N
P270876,ana[to]PRP šarru[king]N bēlu[lord]N ilu[god]N Šamaš[1]DN qabû[say]V umma[saying]PRP Abdi-ri-ša[1]PN wardu[slave]N awīlu[man]N ʿEnu-šasi[1]GN ana[to]PRP šupālu[depression]N upru[dust]N šēpu[foot]N šarru[king]N bēlu[lord]N 7[NA]NA u[and]CNJ 7[NA]NA maqātu[fall]V amāru[see]V nīnu[we]IP bašû[be(come)-at-hand]V ana[to]PRP ʿAmqu[1]GN ālu[city]N šarru[king]N bēlu[lord]N u[and]CNJ alku[gone]AJ Etakkama[1]PN awīlu[man]N ālu[city]N Qidšu[Qadesh]GN ana[to]PRP pānu[front]N ṣābu[people]N Hatti[1]GN u[and]CNJ šaknu[placed]AJ ālu[city]N šarru[king]N bēlu[lord]N ana[to]PRP išātu[fire]N u[and]CNJ edû[know]V šarru[king]N bēlu[lord]N u[and]CNJ nadānu[give]V šarru[king]N bēlu[lord]N ṣābu[people]N piṭṭātu[archers]N u[and]CNJ epēšu[do]V ālu[city]N šarru[king]N bēlu[lord]N u[and]CNJ wašābu[sit-(down)]V ana[to]PRP ālu[city]N šarru[king]N bēlu[lord]N ilu[god]N Šamaš[1]DN
P270877,ana[to]PRP šarru[king]N bēlu[lord]N u[and]CNJ Šamaš[1]DN qabû[say]V umma[saying]PRP Biridiya[1]PN wardu[slave]N kittu[steadiness]N ša[of]DET šarru[king]N ana[to]PRP šēpu[foot]N šarru[king]N bēlu[lord]N u[and]CNJ Šamaš[1]DN 7-šu[NA]NA u[and]CNJ 7-ta-a-an[NA]NA maqātu[fall]V edû[know]V šarru[king]N bēlu[lord]N ana[to]PRP wardu[slave]N u[and]CNJ ana[to]PRP ālu[city]N anumma[now]AV anāku[I]IP erēšu[sow]V ah-ri-šu[NA]NA ina[in]PRP Šunamu[Sunem]GN u[and]CNJ anāku[I]IP wabālu[carry]V awīlu[man]N ma-as-sa₃.MEŠ[NA]NA u[and]CNJ amāru[see]V awīlu[man]N hazannu[mayor]N ša[that]REL itti[with]PRP lā[not]MOD epēšu[do]V kīma[like]PRP yâti[me]IP lā[not]MOD erēšu[sow]V ina[in]PRP Šunamu[Sunem]GN u[and]CNJ lā[not]MOD wabālu[carry]V awīlu[man]N ma-as-sa₃.MEŠ[NA]NA u[and]CNJ anāku[I]IP ya-hu-du-un-ni[NA]NA wabālu[carry]V awīlu[man]N ma-as-sa₃.MEŠ[NA]NA ištu[from]PRP Yapu[Japhia]GN alāku[go]V ištu[from]PRP qātu[hand]N annikīam[here]AV ištu[from]PRP Nuribtu[1]GN u[and]CNJ edû[know]V šarru[king]N bēlu[lord]N ana[to]PRP ālu[city]N
