id_text,lemma
P223392,x-u₂[NA]NA ša[of]DET x-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-ṣe-et[NA]NA ul[not]MOD ta-šem-x[NA]NA patnu[tough]AJ ul[not]MOD ta-rab-ab-an-x[NA]NA annû[this]DP masnaqtu[inspection]N ul[not]MOD ta-na-x[NA]NA lā[not]MOD ta-ta-na-ad-DUN[NA]NA lā[not]MOD šanāʾu[block]V x-x-e-ti[NA]NA pû[mouth]N lā[not]MOD ma-x[NA]NA uznu[ear]N ana[to]PRP bābu[gate]N lā[not]MOD turru[turned]AJ ṭupšarrūtu[scribal-art]N wašābu[sit-(down)]V lū[may]MOD kanšu[submissive]AJ urra[in-the-daytime]AV libbu[interior]N wabālu[bring]V isqu[share]N damāqu[be(come)-good]V ra-ši-x[NA]NA x-tu[NA]NA hi-ših-x[NA]NA
P223478,x[NA]NA x[NA]NA x[NA]NA šeʾû[seek]V x[NA]NA ŠA₃-x[NA]NA he-pi₂[NA]NA eš-šu₂[NA]NA bēlu[lord]N libbu[interior]N ezzu[furious]AJ x[NA]NA nâhu[rest]V x[NA]NA ṭuppu[tablet]N ša[that]REL ištu[from]PRP muhhu[skull]N lēʾu[writing-board]N gabarû[copy]N Babilu[1]SN x[NA]NA Ileʾʾi-bulluṭ-Anum[1]PN kalû[lamentation-priest]N Anu[1]DN Antu[1]DN x[NA]NA
P237717,x[NA]NA palāhu[fear]V x[NA]NA kašādu[reach]V ilu[god]N rabû[big]AJ arāru[curse]V ša[that]REL ana[to]PRP bītu[house]N târu[turn]V ana[to]PRP bītu[house]N pehû[sealed]AJ erēbu[enter]V ša[that]REL ina[in]PRP ahītu[side]N sahāru[go-around]V ana[to]PRP ahītu[side]N ašru[place]N lā[not]MOD amāru[see]V warû[lead]V ša[that]REL ina[in]PRP bābu[gate]N kalû[hold-(back)]V ana[to]PRP bītu[house]N ašru[place]N lā[not]MOD waṣû[go-out]V erēbu[enter]V ša[that]REL ina[in]PRP daltu[door]N u[and]CNJ sikkūru[bolt]N halāpu[slip-into]V daltu[door]N u[and]CNJ sikkūru[bolt]N markasu[bond]N lā[not]MOD paṭāru[loosen]V kalû[hold-(back)]V ša[that]REL ina[in]PRP askuppu[(threshold)-slab]N u[and]CNJ ṣerru[socket-for-doorpost]N ziāqu[blow]V ša[that]REL ina[in]PRP giškanakku[(part-of-doorframe)]N u[and]CNJ nukuššû[(a-door-fitting)]N ṣarāru[flash]V kīma[like]PRP mû[water]N tabāku[pour-(out)]V kīma[like]PRP karpatu[pot]N hepû[break]V x[NA]NA parāru[be(come)-dissolved]V x-ka-tu₄[NA]NA ša[that]REL ina[in]PRP aptu[window]N šurru[bend-down]V kišādu[neck]N ṭabāhu[slaughter]V ša[that]REL ina[in]PRP aptu[window]N ṣēlu[rib]N palāsu[look-at]V pānu[front]N mahāṣu[beat]V ša[that]REL ina[in]PRP aptu[window]N mušērtu[overlooking-window]N šasû[shout]V pû[mouth]N edēlu[shut]V ša[that]REL ina[in]PRP aptu[window]N muhhu[skull]N tabāku[pour-(out)]V kakkultu[mash-tub]N lā[not]MOD petû[open]V katāmu[cover]V ša[that]REL ina[in]PRP nawāru[be(come)-bright]V ekēlu[be(come)-dark]V ina[in]PRP nawāru[be(come)-bright]V ašru[place]N ṣītu[exit]N šamšu[sun]N nasāhu[tear-out]V x[NA]NA kīma[like]PRP berqu[lightning-(flash)]N barāqu[lighten]V ina[in]PRP ekletu[darkness]N ina[in]PRP qerbu[centre]N qabru[grave]N kalû[hold-(back)]V
P237742,ana[to]PRP būrtu[cistern]N lā[not]MOD elû[go-up]V nadû[throw]V ša[that]REL ina[in]PRP gisallû[eaves]N x[NA]NA ēm[whatever]XP alāku[go]V x[NA]NA ša[that]REL ina[in]PRP kiṣru[knot]N gisallû[eaves]N halāpu[slip-into]V
P238386,nâdu[praise]V qarrādu[hero]N ilu[god]N gašru[strong-one]N šūpû[resplendent-one]N māru[son]N Ellil[1]DN Nergal[1]DN nâdu[praise]V qarrādu[hero]N ilu[god]N gašru[strong-one]N šūpû[resplendent-one]N māru[son]N Ellil[1]DN narāmu[loved-one]N Ellil[1]DN ašarēdu[pre-eminent-one]N ṣīru[exalted]AJ muterru[(re)turner]N gimillu[requital]N abu[father]N x-ti[NA]NA Belet-ili[1]DN šarratu[queen]N rabû[big]AJ māru[son]N KUM[NA]NA ša[that]REL ana[to]PRP emūqu[strength]N taklu[reliable]AJ IGI.GAL₂.LA[NA]NA ilu[god]N massû[leader]N ṣīru[exalted]AJ qarrādu[hero]N rabû[big]AJ x-ti[NA]NA x[NA]NA x[NA]NA x[NA]NA Nergal[1]DN ilu[god]N ezzu[furious]AJ ana[to]PRP puluhtu[fear(someness)]N u[and]CNJ rašubbatu[terrifying-appearance]N x[NA]NA ilu[god]N ellu[pure]AJ ša[that]REL zīmu[face]N ki-x[NA]NA nūru[light]N Šamaš[1]DN x[NA]NA Nergal[1]DN bēlu[lord]N šurbû[very-great]AJ šākinu[one-who-places]N tahtû[defeat]N x[NA]NA x-PU[NA]NA ša[that]REL zikru[utterance]N šumu[name]N gallû[(a-demon)]N u[and]CNJ nam-ta-x[NA]NA Nergal[1]DN ša[that]REL ayyābu[enemy]N lemnu[bad]AJ dannu[strong]AJ u₂-x-x[NA]NA x[NA]NA x[NA]NA erṣetu[earth]N rapšu[wide]AJ kāšidu[reacher]N ilu[god]N u[and]CNJ x-x[NA]NA x-x[NA]NA Anunnaku[1]DN bēlu[lord]N haṭṭu[stick]N x[NA]NA x[NA]NA x[NA]NA ellu[pure]AJ ša[that]REL ina[in]PRP kakkabu[star]N za-x-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA Nergal[1]DN ilu[god]N mumtalku[counsellor]N ša[that]REL balāṭu[live]V râmu[love]V x[NA]NA ālu[city]N Marad[1]SN ša[of]DET maruṣtu[evil]N im-x-x[NA]NA Nergal[1]DN ana[to]PRP ālu[city]N ālu[city]N ellu[pure]AJ Marad[1]SN kīniš[reliably]AV x-x-x[NA]NA u[and]CNJ yâšim[to-me]IP x-PA-šu₂[NA]NA x[NA]NA x[NA]NA x[NA]NA lu[NA]NA x[NA]NA {m}{d}EN-x[NA]NA mūtu[death]N gamālu[do-a-favour]V na-x-x[NA]NA x[NA]NA x[NA]NA pi-i[NA]NA Nergal[1]DN dannu[strong-one]N ilu[god]N x[NA]NA x[NA]NA kī[like]PRP pû[mouth]N ṭuppu[tablet]N gabarû[copy]N Kutha[1]SN šaṭru[written]AJ barû[seen]AJ
P238404,rīmu[wild-bull]N bēlu[lord]N mudillu[one-who-disturbs]N x[NA]NA rīmu[wild-bull]N bēlu[lord]N ša[of]DET emūqu[strength]N x[NA]NA rīmu[wild-bull]N ekdu[wild]AJ x-x[NA]NA rīmu[wild-bull]N ša[of]DET qarnu[horn]N zaqtu[pointed]AJ x[NA]NA rīmu[wild-bull]N munarriṭu[one-who-shakes]N šamû[heaven]N x[NA]NA x[NA]NA munarriṭu[one-who-shakes]N šamû[heaven]N u[and]CNJ erṣetu[earth]N x[NA]NA rīmu[wild-bull]N kadru[rearing-up]AJ ša[that]REL ana[to]PRP ayyābu[enemy]N x[NA]NA rīmu[wild-bull]N mukinnu[witness]N x[NA]NA rīmu[wild-bull]N gamru[complete]AJ x[NA]NA rīmu[wild-bull]N ša[that]REL ana[to]PRP A[NA]NA mātu[land]N zāʾeru[enemy]N x[NA]NA rīmu[wild-bull]N nāšû[bearer]N qarnu[horn]N x[NA]NA teslītu[appeal]N qabû[say]V x[NA]NA x[NA]NA uznu[ear]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA ina[in]PRP emūqu[strength]N rabbû[very-big]AJ x[NA]NA qurdu[warriorhood]N bēlūtu[rule]N x[NA]NA anāku[I]IP wardu[slave]N x[NA]NA
P238467,aššu[because]SBJ latāku[try-out]V šinnu[tooth]N ṣulāpu[meaning-unknown]N qanû[reed]N ṭuppu[tablet]N ša[that]REL ištu[from]PRP libbu[interior]N takkussu[reed-stem]N qanû[reed]N ṭābu[good]AJ x[NA]NA x[NA]NA x[NA]NA x[NA]NA PI[NA]NA ZI[NA]NA x[NA]NA x[NA]NA
P238534,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA īnu[eye]N el-x[NA]NA x-ka[NA]NA ana[to]PRP nakru[enemy]N x[NA]NA x[NA]NA x[NA]NA E₂[NA]NA li-x[NA]NA libbu[interior]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P238678,x[NA]NA maruṣtu[evil]N ašru[place]N šeʾû[seek]V x[NA]NA maruṣtu[evil]N ašru[place]N x[NA]NA x[NA]NA šina[two]NU x[NA]NA x[NA]NA šina[two]NU x[NA]NA x[NA]NA
P238785,x[NA]NA marāṣu[be(come)-ill]V x-U₂[NA]NA marāṣu[be(come)-ill]V x[NA]NA rabbumma[gently]AV šakānu[put]V x[NA]NA libbu[interior]N šakānu[put]V x[NA]NA nawāru[be(come)-bright]V kabattu[liver]N x[NA]NA x[NA]NA ul[not]MOD waššābu[resident]AJ x[NA]NA wašbu[inhabited]AJ ina[in]PRP būšu[goods]N x[NA]NA x[NA]NA wašbu[inhabited]AJ ina[in]PRP māru[son]N x[NA]NA x-tim-ma[NA]NA ul[not]MOD x[NA]NA x[NA]NA
