id_text,lemma
P237219,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-x-ma[NA]NA zanānu[rain]V parāku[lie-across]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA parāku[lie-across]V mit-tuh-tu[NA]NA ina[in]PRP išdu[foundation]N šamû[heaven]N parāku[lie-across]V x[NA]NA x[NA]NA x[NA]NA x-pu-u₂[NA]NA elēnû[upper]AJ kakku[weapon]N kakku[weapon]N arbūtu[desolation]N nidûtu[abandonment]N x[NA]NA x[NA]NA x[NA]NA amāru[see]V x[NA]NA x[NA]NA x[NA]NA alāku[go]V x[NA]NA x[NA]NA x[NA]NA šakānu[put]V qablu[battle]N tāhāzu[battle]N atû[find]V amāru[see]V qaqqaru[ground]N mātu[land]N ṣiātu[distant-time]N mukallimtu[scholarly-commentary]N ṭuppu[tablet]N 49-KAM[NA]NA inūma[when]SBJ Anu[1]DN Ellil[1]DN x[NA]NA x-ru-uš[NA]NA šanû[be-changed]V ṭēmu[(fore)thought]N ekēpu[come-close]V nakru[enemy]N ekēpu[come-close]V nakru[enemy]N maṭû[be(come)-little]V mahīru[exchange-rate]N x[NA]NA maʾādu[be(come)-numerous]V kabtu[heavy]AJ x[NA]NA x[NA]NA x[NA]NA šaqû[be(come)-high]V šaqû[be(come)-high]V šaqû[be(come)-high]V šaqû[be(come)-high]V hurhummatu[foam]N hurhummatu[foam]N x[NA]NA x-šu₂[NA]NA x[NA]NA x[NA]NA šu-ub-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-x[NA]NA harūbu[carob-(tree)]N šamaššammū[sesame]N mušēlû[that-raises]AJ šāru[wind]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ina[in]PRP šāru[wind]N erbe[four]N šakānu[put]V ūmu[day]N erēpu[cloud-over]V zanānu[rain]V imbaru[fog]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA imbaru[fog]N lā[not]MOD x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-šu₂[NA]NA mahāhu[soak]V mahāhu[soak]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-ma[NA]NA ṣiātu[distant-time]N mukallimtu[scholarly-commentary]N ṭuppu[tablet]N 49-KAM[NA]NA inūma[when]SBJ Anu[1]DN Ellil[1]DN ina[in]PRP Nisannu[1]MN šūtu[south]N alāku[go]V ina[in]PRP ūmu[day]N 1-KAM[NA]NA adi[until]PRP ūmu[day]N 30-KAM[NA]NA alāku[go]V lemēnu[be(come)-bad]V lemēnu[be(come)-bad]V rabû[be-big]V rabû[be-big]V dešû[sprout]V dešû[sprout]V maʾādu[be(come)-numerous]V maʾādu[be(come)-numerous]V māru[son]N irtu[chest]N šū[he]IP ṣehru[small]N ša[of]DET tulû[breast]N nahāšu[be(come)-luxuriant]V nahāšu[be(come)-luxuriant]V šeʾû[seek-(out)]V šeʾû[seek-(out)]V duppuru[moved-away]AJ nesû[far]AJ duppuru[moved-away]AJ rūqu[distant]AJ enû[change]V enû[change]V purussû[decision]N šaknu[placed]AJ purussû[decision]N šaknu[placed]AJ aššu[because]SBJ warhu[month]N gabbu[totality]N alāku[go]V x.x.DA[NA]NA ittu[sign]N murṣu[illness]N marṣu[sick]AJ dekû[raise]V murṣu[illness]N marṣu[sick]AJ dekû[raise]V sursurtu[suddenly]AV zamar[quickly]AV x[NA]NA x[NA]NA šamû[rain]N šamû[rain]N dāru[era]N aššu[because]SBJ zanānu[rain]V zunnu[rain]N nāru[river]N miṭirtu[watercourse]N kirû[(fruit)-plantation]N x-x-hu[NA]NA aššu[because]SBJ dekû[raise]V Kislimu[1]MN warhu[month]N šuāti[him]PP šuāti[him]PP šuāti[him]PP x[NA]NA ina[in]PRP mātu[land]N Šamaš[1]DN tebû[arise]V x[NA]NA x[NA]NA x[NA]NA ašamšūtu[dust-storm]N aššu[because]SBJ duluhhû[disturbance]N x-ha-tu₄[NA]NA x[NA]NA x[NA]NA x[NA]NA
P237394,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA hu-du[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA Ninurta[1]DN a-ha[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-ti-ka[NA]NA ana[to]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-piš[NA]NA bītu[house]N libbu[interior]N qerbu[centre]N libbu[interior]N libbu[interior]N x[NA]NA x-ri-in-nu[NA]NA ebīhu[(a-rope-or-girdle)]N x[NA]NA x[NA]NA eṭēru[take-away]V eṭēru[take-away]V ekēmu[take-away]V ekēmu[take-away]V x[NA]NA x[NA]NA esēpu[gather-together]V šanîš[otherwise]AV espu[gathered-together]AJ x[NA]NA x[NA]NA x[NA]NA
P237395,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA $PA[NA]NA ana[to]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA hīṭu[error]N ša[that]REL ilu[god]N x[NA]NA ša[of]DET pānu[front]N rabû[set]V ana[to]PRP rabû[set]V x[NA]NA x[NA]NA hurāṣu[gold]N hurāṣu[gold]N ahû[outside(r)]N ahû[outside(r)]N rihûtu[progeny]N rihûtu[progeny]N x[NA]NA x-mit[NA]NA šanîš[otherwise]AV karānu[wine]N lā[not]MOD hīqu[mixed]AJ $BAD[NA]NA $TU[NA]NA x-x-x[NA]NA x[NA]NA x[NA]NA qātu[hand]N liš-x-x[NA]NA x[NA]NA x-tu-mu[NA]NA x[NA]NA
P237396,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ap-pu-hu[NA]NA biššu[rue]N kasû[mustard]N pa-x[NA]NA x[NA]NA x-ša₂-a[NA]NA ṣal-pi[NA]NA x[NA]NA marû[fattened]AJ zu-uz-zu-lu[NA]NA e-x[NA]NA x[NA]NA x[NA]NA x-qa[NA]NA wašābu[sit-(down)]V wabālu[carry]V pi-x-x[NA]NA x-x-ru[NA]NA kirādu[kir=adu]N biʾiltu[(a-container)]N x[NA]NA x[NA]NA x-x-x[NA]NA punānu[(a-plant)]N x[NA]NA x[NA]NA
P237754,zuqiqīpu[scorpion]N ina[in]PRP bītu[house]N awīlu[man]N alāku[go]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ṭiābu[be(come)-good]V amāru[see]V ša[that]REL x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA zuqiqīpu[scorpion]N ina[in]PRP bītu[house]N awīlu[man]N alāku[go]V {iti}x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ūmu[day]N edû[flood]N ūmu[day]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA dannu[strong]AJ kūṣu[coldness]N {iti}x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA rēšu[head]N išdu[base]N išdu[foundations]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ašāru[muster]V ašāru[muster]V ṣiātu[distant-time]N u[and]CNJ šūt[who(m)]DET pû[mouth]N ša[of]DET ṭuppu[tablet]N 27.KAM[NA]NA ālu[village]N ina[in]PRP mēlû[height]N šaknu[placed]AJ birītu[space-between]N uznu[ear]N mimma[anything]XP mala[as-much-as]PRP x[NA]NA x[NA]NA x[NA]NA piṭru[release]N ahu[arm]N piṭru[release]N x[NA]NA x[NA]NA uppu[tube]N piṭru[release]N dimtu[tear]N libbu[interior]N dimtu[tear]N dimtu[tear]N šanîš[otherwise]N dibbu[words]N libbu[interior]N ukultu[food]N ukultu[food]N šapūlu[groin]N birītu[space-between]N purīdu[leg]N purīdu[leg]N mamman[somebody]PRP ṣāltu[combat]N gerû[be-hostile-to]V būšu[goods]N târu[turn]V šīmu[purchase-(price)]N târu[turn]V būšu[goods]N ṭehû[be(come)-near-to]V ṭehû[be(come)-near-to]V bussurtu[message]N bussuru[bring-a-message]V bussuru[bring-a-message]V ta-x-x-ru[NA]NA bussurtu[message]N ūmu[day]N ilu[god]N u[and]CNJ šarru[king]N ūmu[day]N isinnu[festival]N ša[that]REL ilu[god]N u[and]CNJ šarru[king]N sissiktu[hem]N sissiktu[hem]N ezēbu[leave]V ezēbu[leave]V warki[behind]PRP awû[speak]V awīlu[man]N zaqātu[sting]V awû[speak]V šasû[shout]V ṣiātu[distant-time]N ša[of]DET ṭuppu[tablet]N 28.KAM[NA]NA ālu[village]N ina[in]PRP mēlû[height]N šaknu[placed]AJ zaqātu[sting]V ša[of]DET zaqātu[sting]V nēhu[calm]AJ zaqātu[sting]V ša[of]DET zaqātu[sting]V dannu[strong]AJ Damu[1]DN Gula[1]DN ṭurru[binding]N rakāsu[bind]V ṭurru[binding]N rakāsu[bind]V pānu[front]N rihṣu[flood(ing)]N pānu[front]N rihṣu[flood(ing)]N šatû[drink]V ziāqu[blow]V šatû[drink]V parû[vomit]V šamnu[oil]N u[and]CNJ šikaru[beer]N salāhu[sprinkle-(with)]V šamnu[oil]N u[and]CNJ šikaru[beer]N salāhu[sprinkle-(with)]V alāku[go]V lā[not]MOD atāru[be(come)-outsize]V alāku[go]V lā[not]MOD târu[turn]V alāku[go]V lā[not]MOD mâdu[be(come)-many]V Ninimma[1]DN Ea[1]DN ša[of]DET ṭupšarru[scribe]N Ninnisig[1]DN Nergal[1]DN šanîš[otherwise]N Enninšar[1]DN Nirah[Snake]CN Ištaran[1]DN kalītu[kidney]N libbu[interior]N libbu[interior]N bēlu[lord]N āmeru[that-sees]N ša[of]DET zêru[dislike]V mārtu[daughter]N mušīhu[grower]N paššuru[table]N mušīhu[grower]N ṣiātu[distant-time]N u[and]CNJ šūt[who(m)]DET pû[mouth]N ša[of]DET ṭuppu[tablet]N 29.KAM[NA]NA ālu[village]N ina[in]PRP mēlû[height]N šaknu[placed]AJ azû[sigh]V šasû[shout]V išdihu[profit(able-business)]N parāsu[cut-(off)]V išdihu[profit(able-business)]N parāsu[cut-(off)]V na-bu-ul-tu₄[NA]NA mītu[dead]AJ šanîš[otherwise]N nu-ub-bu-ul-tu₄[NA]NA hepû[broken]AJ eššu[new]AJ nu-ub-bu-ul-tu₄[NA]NA mītu[dead]AJ udû[tools]N bītu[house]N udû[tools]N udû[(a-vessel)]N nushu[(a-container)]N udû[tools]N udû[tools]N ṣabātu[seize]V ṣabātu[seize]V bītu[house]N šū[he]IP arnu[guilt]N rašû[acquire]V bītu[house]N šu[that]IP arnu[guilt]N rašû[acquire]V arnu[guilt]N arnu[guilt]N arnu[guilt]N arnu[guilt]N ul[not]MOD parāsu[cut-(off)]V ul[not]MOD parāsu[cut-(off)]V qumahhu[cattle]N būlu[animals]N qumahhu[cattle]N ṣurārû[lizard(s)]N ṣurārû[lizard(s)]N āmeru[that-sees]N ilittu[birth]N ilittu[birth]N littu[descendant]N banû[be(come)-good]V banû[be(come)-good]V alādu[give-birth-(to)]V walādu[give-birth-(to)]V kukittu[inappropriate-location]N lā[not]MOD mitgurtu[agreement]N kukittu[inappropriate-location]N lā[not]MOD šattu[improper]AJ lā[not]MOD šattu[improper]AJ lā[not]MOD kušīru[success]N šinā[two]N ūmu[day]N šinā[two]N ūmu[day]N karṣu[slander]N karṣu[slander]N kur₂[NA]NA akālu[eat]V akālu[eat]V mūtu[death]N kamītu[bondage]N mâtu[die]V mūtu[death]N kamītu[bondage]N mâtu[die]V kašūtu[1]N kašūtu[1]N īnu[eye]N ṣahātu[press]V MIN-šu₂[NA]NA lawû[surround]V ṣiātu[distant-time]N ša[of]DET ṭuppu[tablet]N 30.KAM[NA]NA ālu[village]N ina[in]PRP mēlû[height]N šaknu[placed]AJ
P237772,Sin[1]DN ina[in]PRP muṣlālu[siesta(-time)]N waṣû[go-out]V qarnu[horn]N qaqqaru[ground]N amāru[see]V mīlu[flood]N alāku[go]V lū[either]CNJ ūmu[day]N 2.KAM₂[NA]NA lū[either]CNJ ūmu[day]N 3.KAM₂[NA]NA ilu[god]N zīzu[divided]AJ izuzzu[stand]V Sin[1]DN ina[in]PRP muṣlālu[siesta(-time)]N waṣû[go-out]V qarnu[horn]N qaqqaru[ground]N amāru[see]V šanîš[otherwise]N ūmu[day]N 3.KAM₂[NA]NA ūmu[day]N 4.KAM₂[NA]NA magal[greatly]AV rabû[big]AJ Sin[1]DN ina[in]PRP tāmartu[view(ing)]N nabalkutu[crossed-over]AJ šarru[king]N mātu[land]N ul[not]MOD ešēru[be/go-well]V ūmu[day]N 14.KAM₂[NA]NA itti[with]PRP Šamaš[1]DN lā[not]MOD amāru[see]V šanîš[otherwise]N Sin[1]DN amāru[see]V erpetu[cloud]N yānu[(there)-is-not]V ūmu[day]N šasû[shout]V Adad[1]DN ina[in]PRP lā[not]MOD simānu[(right)-occasion]N rigmu[voice]N nadû[throw]V ūmu[day]N nesû[be-distant]V Sin[1]DN adru[dark]AJ ina[in]PRP antallû[eclipse]N Sin[1]DN Adad[1]DN rigmu[voice]N nadû[throw]V ūmu[day]N nesû[be-distant]V Šamaš[1]DN adru[dark]AJ ina[in]PRP antallû[eclipse]N Šamaš[1]DN Adad[1]DN rigmu[voice]N nadû[throw]V ūmu[day]N ṣētu[bright-light]N nakāru[change]V ṭīdu[clay]N 4{+ba}[NA]NA alāku[go]V ūmu[day]N nesû[be-distant]V Adad[1]DN rigmu[voice]N maqātu[fall]V ina[in]PRP antallû[eclipse]N šakānu[put]V Šimut[1]DN Ṣalbatanu[Mars]CN šanîš[otherwise]AV Balu[1]CN šalšiš[thirdly]AV Udkaduʾa[1]CN Šamaš[1]DN 7[NA]NA agû[tiara]N apru[with-head-covered]AJ šarru[king]N kibru[riverbank]N bêlu[rule-(over)]V šanîš[otherwise]N miqittu[(down)fall]N būlu[animals]N mišlu[half]N antallû[eclipse]N šakānu[put]V Sin[1]DN ina[in]PRP tāmartu[view(ing)]N ina[in]PRP ṣītu[exit]N šamšu[sun]N amāru[see]V lū[either]CNJ ina[in]PRP napāhu[blow]V lū[either]CNJ ina[in]PRP muṣlālu[siesta(-time)]N ūmu[day]N 30.KAM₂[NA]NA warki[behind]PRP Šamaš[1]DN amāru[see]V Sin[1]DN ina[in]PRP tāmartu[view(ing)]N išpallurtu[cross]N kakkabu[star]N ebhu[girded]AJ ina[in]PRP šattu[year]N šū[he]IP ina[in]PRP mātu[land]N nukurtu[enmity]N šakānu[put]V Kayyamanu[Saturn]CN Dilbat[Venus]CN Ṣalbatanu[Mars]CN amāru[see]V {mul}MAŠ.TAB.BA.GAL.GAL.LA[NA]NA lawûm[surround]V Sin[1]DN ina[in]PRP tāmartu[view(ing)]N qarnu[horn]N ṣeršu[offshoot]N sāmu[red]AJ antallû[eclipse]N šakānu[put]V ina[in]PRP qarnu[horn]N kilallān[both]AJ 2[NA]NA kakkabu[star]N izuzzu[stand]V idu[arm]N ana[to]PRP idu[arm]N qarnu[horn]N mithāru[corresponding]AJ Sin[1]DN ina[in]PRP tāmartu[view(ing)]N lā[not]MOD qabû[say]V kiššatu[totality]N antallû[eclipse]N rabû[set]V itti[with]PRP Šamaš[1]DN amāru[see]V ittu[sign]N ul[not]MOD kullumu[show]V Sin[1]DN ina[in]PRP tāmartu[view(ing)]N qarnu[horn]N šumēlu[the-left]N artu[branches]N išû[have]V kakkabu[star]N 1[NA]NA ina[in]PRP qarnu[horn]N šumēlu[the-left]N 1[NA]NA ubānu[finger]N 2[NA]NA ubānu[finger]N sanāqu[check]V Sin[1]DN ina[in]PRP tāmartu[view(ing)]N qarnu[horn]N imittu[right]N ṣalmu[black]AJ qarnu[horn]N imittu[right]N arāmu[cover]V Sin[1]DN Šamaš[1]DN lā[not]MOD quʾʾû[await]V rabû[set]V nadāru[be(come)-wild]V nēšu[lion]N u[and]CNJ barbaru[wolf]N ina[in]PRP Šamaš[1]DN izuzzu[stand]V adriš[dimly]AV waṣû[go-out]V ūmu[day]N 15.KAM[NA]NA amāru[see]V Sin[1]DN u[and]CNJ Šamaš[1]DN mahāru[face]V Sin[1]DN tēdištu[renewal]N lā[not]MOD kašādu[reach]V 14.KAM₂[NA]NA ilu[god]N itti[with]PRP ilu[god]N amāru[see]V haprātu[visible-surface]N ul[not]MOD našāru[deduct]V Sin[1]DN ina[in]PRP tāmartu[view(ing)]N qarnu[horn]N kepû[bent-(back)]AJ TUN₃.BA.AB[NA]NA qanû[reed]N ka-pi₂[NA]NA TUN₃.BA.AB[NA]NA qanû[reed]N ku-pi[NA]NA Sin[1]DN ina[in]PRP tāmartu[view(ing)]N Šulpae[1]DN ina[in]PRP libbu[interior]N izuzzu[stand]V šarru[king]N mātu[land]N Amurru[1]GN kiššatu[totality]N epēšu[do]V x[NA]NA mātu[land]N nakru[enemy]N šakānu[put]V Sin[1]DN ina[in]PRP tāmartu[view(ing)]N Šitaddaru[Orion]CN ina[in]PRP libbu[interior]N izuzzu[stand]V šarru[king]N kiššatu[totality]N kiššatu[totality]N epēšu[do]V Šitaddaru[Orion]CN Kayyamanu[Saturn]CN Sin[1]DN ina[in]PRP tāmartu[view(ing)]N Iku[Field]CN ina[in]PRP libbu[interior]N izuzzu[stand]V Ṣalbatanu[Mars]CN ina[in]PRP libbu[interior]N izuzzu[stand]V x[NA]NA šitqulu[in-conjunction]AJ x[NA]NA x[NA]NA x[NA]NA x[NA]NA ina[in]PRP warhu[month]N maṣṣartu[watch]N ana[to]PRP antallû[eclipse]N x[NA]NA x-i[NA]NA ina[in]PRP warhu[month]N maṣṣartu[watch]N ana[to]PRP antallû[eclipse]N x[NA]NA antallû[eclipse]N bašû[exist]V x[NA]NA ana[to]PRP antallû[eclipse]N x[NA]NA antallû[eclipse]N šakānu[put]V x[NA]NA x[NA]NA šū[he]IP antallû[eclipse]N šakānu[put]V x[NA]NA šanîš[otherwise]N x[NA]NA antallû[eclipse]N x[NA]NA antallû[eclipse]N x[NA]NA izuzzu[stand]V antallû[eclipse]N nabû[name]V x[NA]NA kakku[weapon]N uqu[people]N rapšu[wide]AJ ina[in]PRP dabdû[defeat]N maqātu[fall]V x[NA]NA warhu[month]N 12[NA]NA warhu[month]N šalāmu[be(come)-healthy]V x[NA]NA nesû[be(come)-distant]V izuzzu[stand]V danānu[be(come)-strong]V x[NA]NA rabû[big]AJ kiššatu[totality]N Ninurta[1]DN x[NA]NA x[NA]NA malku[prince]N Urgulu[Lion]CN x[NA]NA Ninkasi[1]CN x[NA]NA AN.GUB[NA]NA še-e[NA]NA šahṭu[jumped]AJ x[NA]NA x[NA]NA nagbu[underground-water]N parāsu[cut-(off)]V x-MEŠ[NA]NA mīlu[flood]N alāku[go]V x[NA]NA x-qu[NA]NA mīlu[flood]N parāsu[cut-(off)]V x[NA]NA x[NA]NA Ningirsu[1]DN Ninurta[1]DN kī[like]PRP pû[mouth]N lēʾu[writing-board]N gabarû[copy]N Babilu[Babylon]SN ša[of]DET Nabu-naṣir[1]PN māru[son]N Ea-pattani[1]PN Bābilû[Babylonian]EN ana[to]PRP tāmartu[view(ing)]N nasāhu[tear-out]V šaṭru[written]N barû[seen]AJ ṭuppu[tablet]N Nabu-zuqup-kenu[1]PN māru[son]N Marduk-šuma-iqiš[1]PN ṭupšarru[scribe]N līpu[descendant]N Gabbi-ilani-ereš[1]PN rabû[big-one]N ṭupšarru[scribe]N Kalhu[1]GN Addaru[1]MN ūmu[day]N 23-KAM₂[NA]NA līmu[eponym-(of-year)]N Ilu-issiya[1]PN šaknu[appointee]N Šaʾimerišu[Damascus]GN u[and]CNJ šattu[year]N 11.KAM₂[NA]NA Sennacherib[1]RN šarru[king]N mātu[land]N Assur[1]GN
P238313,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x.MA{mušen}[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x{mušen}[NA]NA ittīl-imūt[(an-owl)]N erēbu[enter]V erēbu[enter]V našpartu[(a-bird)]N eššebu[(a-kind-of-owl)]N AN.ZI.NAM.LA₂[NA]NA mimma[anything]XP šumu[name]N napharu[total]N iṣṣūru[bird]N ṣallallu[(a-night-bird)]N ṣallallu[(a-night-bird)]N ṣallallu[(a-night-bird)]N x[NA]NA x[NA]NA ittīl-imūt[(an-owl)]N ittīl-imūt[(an-owl)]N ayyû[(a-bird)]N ayyû[(a-bird)]N ezēbu[leave]V maṣṣartu[observation]N ālu[village]N palāšu[perforate]V ezēbu[leave]V maṣṣartu[observation]N ālu[village]N palāšu[perforate]V igirû[heron]N igirû[heron]N bābilu[carrier]AJ wabālu[carry]V walādu[give-birth-(to)]V hupšu[(member-of)-lower-class]N ṣābu[people]N x[NA]NA šaqû[be(come)-high]V šaqû[be(come)-high]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA IGI.x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA kubšī-barmat[(a-bird)]N x[NA]NA kuluppû[(a-bird)]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA zi-ih-x[NA]NA x[NA]NA qinnu[nest]N ša[of]DET kibru[bank]N AG[NA]NA ir-ta[NA]NA x[NA]NA kallāt-Šamši[dragonfly]N kallāt-Šamši[dragonfly]N šuttinnu[bat]N šuttinnu[bat]N ṣiātu[distant-time]N ša[of]DET ṭuppu[tablet]N 73.KAM[NA]NA ālu[village]N ina[in]PRP mēlû[height]N šaknu[placed]AJ ṣēnu[flock]N ṣēnu[flock]N x[NA]NA x[NA]NA nawû[pasturage]N id-da-ki[NA]NA x[NA]NA x[NA]NA x[NA]NA nawû[pasturage]N nawû[pasturage]N x[NA]NA x[NA]NA x.KUR[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ṣiātu[distant-time]N ša[of]DET ṭuppu[tablet]N 74.KAM[NA]NA ālu[village]N ina[in]PRP mēlû[height]N šaknu[placed]AJ x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P238616,Neberu[Jupiter]CN nāšû[bearer]N ṣaddu[(wooden)-signal]N ana[to]PRP dadmū[villages]N Makurru[Barge]CN x[NA]NA x[NA]NA banû[create]V bānû[creator]N bānû[creator]N x[NA]NA x[NA]NA x[NA]NA Nabu[1]DN kī[like]PRP qabû[say]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA Šupa[1]CN kakkabu[star]N nawru[bright]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-ti[NA]NA kamû[defeated]AJ šukudu[arrow]N kakkabu[star]N mīšaru[justice]N bibbu[wild-sheep]N mušmītu[murderous]AJ būlu[animals]N Ṣalbatanu[Mars]CN muštabarrû[persistent]AJ mūtānu[epidemic]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA Belet-ili[1]DN x[NA]NA x[NA]NA x[NA]NA mi-x[NA]NA x[NA]NA x[NA]NA zarû[shaft]N mašaddu[(yoke-)shaft]N x-x-bu[NA]NA kepû[bent-(back)]AJ ina[in]PRP mātu[land]N kakkabu[star]N mātu[land]N napāhu[blow]V x[NA]NA x[NA]NA x-x-ši[NA]NA
P239214,x-i[NA]NA arû[vomit]V x[NA]NA x[NA]NA a-du-du[NA]NA x[NA]NA salāʾu[sprinkle]V x-i[NA]NA e-ra-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA nesû[far]AJ x[NA]NA qatāru[smoke]V qatāru[smoke]V x[NA]NA x[NA]NA kimahhu[grave]N kummu[cella]N ša[of]DET ramānu[self]N x[NA]NA x-ma[NA]NA lumnu[evil]N kabtu[heavy]N zabālu[carry]V x-x-ni[NA]NA nadû[throw]V nadû[throw]V ezēbu[leave]V ezēbu[leave]V x[NA]NA hurāṣu[gold]N ṭurru[binding]N hurāṣu[gold]N x[NA]NA natāku[drip]V natāku[drip]V
P240195,Barsagsag[1]MN Nisannu[1]MN x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA Šabāṭi[1]MN Nisannu[1]MN x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA aššum[because-(of)]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA Šebūti[1]MN Arahsamnu[1]MN x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA Šerʾi-erēši[1]MN Kislimu[1]MN aššu[because]SBJ šerʾu[furrow]N šerʾu[furrow]N errēšu[cultivator]N epinnu[(seed)-plough]N ellu[pure]AJ ša[of]DET tu-lu-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ša[that]REL ina[in]PRP libbu[interior]N qabû[said]AJ Tamḫiri[1]MN Ṭebetu[1]MN aššu[because]SBJ ina[in]PRP Ṭebetu[1]MN x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA elû[go-up]V nišu[people]N mātu[land]N muhhuru[offering]N ana[to]PRP pānu[face]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA Sililīti[1]MN Šabaṭu[1]MN Sililīti[1]MN x[NA]NA x[NA]NA aššu[because]SBJ ina[in]PRP Šabaṭu[1]MN hašādu[wedding]N ša[that]REL ilu[god]N šakānu[put]V Huldube[1]MN Addaru[1]MN lemnu[evil-one]N lemnu[evil-one]N napāṣu[push-away]V napāṣu[push-away]V aššu[because]SBJ ina[in]PRP Addaru[1]MN Marduk[1]DN lemnu[evil-one]N x[NA]NA x[NA]NA x[NA]NA napāṣu[push-away]V šarrūtu[kingship]N leqû[take]V ina[in]PRP libbu[interior]N lēʾu[board]N gabarû[copy]N mātu[land]N Aššur[Assyria]GN AN-x[NA]NA Nabu-naṣir[1]PN watmu[hatchling]N Ea-pattani[1]PN x[NA]NA x[NA]NA x[NA]NA
