id_text,lemma
P223393,x[NA]NA x[NA]NA x[NA]NA qinnu[nest]N ša[of]DET iṣṣūru[bird]N qinnu[nest]N ša[of]DET iṣṣūru[bird]N qinnu[nest]N ša[of]DET iṣṣūru[bird]N qannu[built]AJ qannu[fringe]N qinnu[nest]N qannu[built]AJ ŠU-ma[NA]NA x[NA]NA libbu[inner-body]N kannu[rolled-up]AJ libbu[inner-body]N kannu[rolled-up]AJ kapāṣu[bend-back]V asqubbītu[hump]N asqubbītu[hump]N qadādu[bow]V qadādu[bow]V ša[of]DET awīlu[man]N qadādu[bow]V ša[of]DET awīlu[man]N qadādu[bow]V ša[of]DET awīlu[man]N qadādu[bow]V ša[of]DET awīlu[man]N qadādu[bow]V ša[of]DET awīlu[man]N qadādu[bow]V ša[of]DET awīlu[man]N qadādu[bow]V ša[of]DET awīlu[man]N qadādu[bow]V ša[of]DET awīlu[man]N qiddu[vault-(of-sky)]N qiddu[vault-(of-sky)]N qiddu[vault-(of-sky)]N kanāšu[bow-down]V kanāšu[bow-down]V ṣēru[back]N ṣēru[back]N ṣēru[back]N ṣēru[back]N ṣēru[back]N ša[of]DET ubānu[finger]N ṣêru[spread-out]V ša[of]DET gišimmaru[date-palm]N ana[to]PRP ṣēru[back]N ana[to]PRP ṣēru[back]N ana[to]PRP ṣēru[back]N ṣīru[(meaning-unknown)]N muṣlālu[siesta(-time)]N ṣerriš[meaning-unknown]AV ṣurrû[split]AJ ṣurrû[split]AJ ṣar̂rû[(a-part-of-date-palm?)]N ālu[city]N Ṣurrititu[1]SN nakru[strange]AJ nakāru[change]V ša[of]DET qabû[say]V awātu[word]N nakāru[change]V ša[of]DET qabû[say]V awātu[word]N nakāru[change]V ša[of]DET qabû[say]V awātu[word]N
P223422,zêru[hate]V išpallurtu[cross]N zakāru[speak]V hunnunu[(designation-of-man-sheep)]AJ u₂-uz-x-x[NA]NA kīma[like]PRP ta-x-x[NA]NA i-na-bi-x[NA]NA halāqu[be(come)-lost]V ula[not]MOD magāru[consent]V litiktu[test]N x-tu-UD[NA]NA ZA-AB-ta-x[NA]NA mūtu[death]N mašû[forget]V Suen[1]DN paṭāru[loosen]V Suen[1]DN paṭāru[loosen]V
P227629,kutīmu[goldsmith]N zadimmu[lapidary]N wâru[go-(up-to)]V hiāšu[hurry]V tattūru[superfluity]N kuzbu[attractiveness]N u[and]CNJ ulṣu[pleasure]N pištu[abuse]N erretu[curse]N taqribtu[(a-ritual)]N ebbūbu[flute]N taqribtu[(a-ritual)]N unnīnu[supplication]N akālu[eat]V šatû[drink]V nāru[musician]N nargallu[chief-musician]N elēpu[sprout]V sabāʾu[rock]V nakāpu[push]V sâru[rotate]V ašar[where]SBJ būlu[animals]N akālu[eat]V ašar[where]SBJ būlu[animals]N šatû[drink]V kāpišu[(a-cultic-performer)]N kāpišu[(a-cultic-performer)]N pūtu[forehead]N šiddu[length]N šarrāqu[thief]N muttahallilu[roaming-around]N
P227673,qātu[hand]N ubānu[finger]N ubānu[finger]N rabû[big]AJ ubānu[finger]N qablû[central]AJ birītu[space-between]N ubānu[finger]N ubānu[finger]N ṣehru[small]AJ uṣurtu[drawing]N qātu[hand]N libbu[inner-body]N qātu[hand]N šerʾānu[vein]N qātu[hand]N ṣupru[nail]N qātu[hand]N
P227688,be₂-e-er[NA]NA bu-ul-li-li[NA]NA pu-ut-ti-il[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-x[NA]NA x[NA]NA x[NA]NA x-x[NA]NA x[NA]NA x[NA]NA x-su[NA]NA me-e[NA]NA tu-ub-bi-ik[NA]NA ku-x-x[NA]NA bu-ri-im[NA]NA wu-ri-iq[NA]NA pu-uṣ-ṣi₂[NA]NA ub-bi-ib[NA]NA zu-uh₂-hi-in[NA]NA te-qi₃-i-šu[NA]NA ku-ti-im[NA]NA hu-mi-iṣ[NA]NA pu-ri-is[NA]NA te-e-er[NA]NA qa₂-na-a-am[NA]NA qu₃-lu-up[NA]NA li-x-pi-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-x[NA]NA x[NA]NA x[NA]NA ul-x[NA]NA x[NA]NA x[NA]NA šu-x[NA]NA x[NA]NA x[NA]NA x[NA]NA na-x[NA]NA ta-x[NA]NA ku-nu-šum[NA]NA qu₃-ud-du-du-um[NA]NA a-hu-um[NA]NA x[NA]NA x[NA]NA x[NA]NA a-hu-um[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-x[NA]NA ṣi-ir-ni-tum[NA]NA ma-as₂-kum[NA]NA zi-ru-tum[NA]NA ma-as₂-kum[NA]NA le-em-nu-um[NA]NA ra-bi-ṣum[NA]NA ra-bi-iṣ[NA]NA ṣi-am[NA]NA gu-ul-lu-ul[NA]NA ig-da-li-il[NA]NA gu-ul-lu-lu-um[NA]NA lu-mu-nu-um[NA]NA ne-šu-u₂-um[NA]NA tu-ul-tum[NA]NA šu-lu-u₂-um[NA]NA tu-šu-u₂-um[NA]NA x[NA]NA ka-ad-rum[NA]NA mi-iš-lu-um[NA]NA šu-u₂[NA]NA gi-mi-il-lum[NA]NA šu-u₂[NA]NA it-gu-pu-um[NA]NA sa-a-ru-um[NA]NA ba-nu-u₂-um[NA]NA še-li-u₂-um[NA]NA sa₃-ba-HU-um[NA]NA mi-nu-u₂-tum[NA]NA ha-ab-ṣu-tum[NA]NA hu-bu-ṣum[NA]NA ṣi₂-a-tum[NA]NA šu-lu[NA]NA ma-tim[NA]NA a-lum[NA]NA e-lu-um[NA]NA x[NA]NA x-u₂[NA]NA a-ša-šum[NA]NA ku-uš-ta-ru-um[NA]NA na-ma-šum[NA]NA sa-li-mu-um[NA]NA x-ub[NA]NA x-UD[NA]NA x-ul[NA]NA x[NA]NA x[NA]NA x-uz[NA]NA x-uš[NA]NA x-x[NA]NA x-ub[NA]NA x-x[NA]NA x-x[NA]NA x-x[NA]NA x-x[NA]NA x-x[NA]NA x-x[NA]NA x-x[NA]NA x-hu[NA]NA x-nu[NA]NA x-ul[NA]NA x-x[NA]NA x-ad-du[NA]NA x[NA]NA na-hi-id[NA]NA x-x-ar[NA]NA x[NA]NA
P227693,x-x[NA]NA x-x[NA]NA x-x[NA]NA x-ar-x-tum[NA]NA me-e[NA]NA šu-ri[NA]NA me-e[NA]NA ha-ar-ri[NA]NA me-e[NA]NA la-wi-ra-a-ni[NA]NA me-e[NA]NA i-pi-ri[NA]NA me-e[NA]NA ša[NA]NA aš-ri-i-tim[NA]NA x-um[NA]NA me-a-ta[NA]NA ša[NA]NA aš-me-a-ti[NA]NA a-li₂[NA]NA mi-nu[NA]NA x[NA]NA PI-tum[NA]NA x-x-tum[NA]NA
P227718,x-x[NA]NA x-x[NA]NA šuburru[rump]N marṣu[sick]AJ šuburru[rump]N ebṭu[swollen]AJ nahlu[sieved]AJ nahlu[sieved]AJ gardu[mangy]N garṣu[leprous-one]N garbu[leprous]AJ epqēnu[(a-skin-complaint)]N epqēnu[(a-skin-complaint)]N epqēnu[(a-skin-complaint)]N epqu[leprosy]N epqu[leprosy]N epqu[leprosy]N epqu[leprosy]N epqu[leprosy]N epqu[leprosy]N ṣernettu[(a-skin-disease)]N ṣernettu[(a-skin-disease)]N mangu[(a-skin-disease)]N mangu[(a-skin-disease)]N mangu[(a-skin-disease)]N mangu[(a-skin-disease)]N lūtu[debility]N sihiltu[thorn]N sihiltu[thorn]N ṣillû[thorn]N sihiltu[thorn]N qanû[reed]N sihiltu[thorn]N iṣu[tree]N šilittu[split-piece]N qanû[reed]N šilittu[split-piece]N elpetu[alfalfa-grass]N mihiṣtu[strike]N ṣillû[thorn]N šēpu[foot]N hamšu[snapped-off]AJ neqelpû[float]V mimma[anything]XP x[NA]NA dāmu[blood]N dāmu[blood]N šarku[pus]N kurartu[(a-skin-complaint)]N zūtu[sweat]N zūtu[sweat]N hīlu[exudation]N hīlu[exudation]N dalāpu[stir-up]V malû[full]AJ mû[water]N malû[full]AJ mû[water]N malû[full]AJ mû[water]N eriu[naked]AJ mīru[(part-of-the-intestines)]N
P227749,kanānu[roll-up]V ša[of]DET šipru[sending]N ša[of]DET kalbu[dog]N ša[of]DET kalbu[dog]N ša[of]DET kalbu[dog]N ša[of]DET ṣerru[snake]N ša[of]DET ṣerru[snake]N ša[of]DET awīlu[man]N ša[of]DET awīlu[man]N ša[of]DET awīlu[man]N ša[of]DET awīlu[man]N ša[of]DET awīlu[man]N ša[of]DET awīlu[man]N ša[of]DET awīlu[man]N kannu[(vessel-)stand]N ša[of]DET mû[water]N kannu[(vessel-)stand]N ša[of]DET mû[water]N kannu[(vessel-)stand]N ša[of]DET mû[water]N kannu[(vessel-)stand]N ša[of]DET mû[water]N kannu[(vessel-)stand]N ša[of]DET mû[water]N kannu[(vessel-)stand]N ša[of]DET x[NA]NA x-x[NA]NA la-x[NA]NA MIN[NA]NA nabāṭu[be(come)-bright]V nabāṭu[be(come)-bright]V nabāṭu[be(come)-bright]V nabāṭu[be(come)-bright]V nabāṭu[be(come)-bright]V nabāṭu[be(come)-bright]V nabāṭu[be(come)-bright]V nabāṭu[be(come)-bright]V napṭu[naphtha]N napṭu[naphtha]N napardû[shining-brightly]AJ napardû[shining-brightly]AJ nāpilu[(a-siege-implement-for-demolishing-walls)]N nāpilu[(a-siege-implement-for-demolishing-walls)]N napālu[dig-out]V ša[of]DET abātu[destroy]V x[NA]NA napālu[dig-out]V ša[of]DET abātu[destroy]V x[NA]NA napālu[dig-out]V ša[of]DET abātu[destroy]V x[NA]NA nābalu[dry-land]N nablu[flash-of-fire]N
P227750,x-ri-ik-tum[NA]NA ti-ib-ku-um[NA]NA mi-lum[NA]NA mi-lum[NA]NA ha-ar-pu-um[NA]NA mi-il[NA]NA ki-iš-ša-tim[NA]NA mi-lum[NA]NA ka-a₁₂(UD)-mi[NA]NA mi-lum[NA]NA i-ta-ha-UD[NA]NA a-ga-ku-um[NA]NA u₂-gu-up-pu-um[NA]NA du-lu-u₂-tum[NA]NA ma-ku-ut[NA]NA du-lu-u₂-um[NA]NA ti-bi-ik[NA]NA me-e[NA]NA me-e[NA]NA ma-qi₄-a-tim[NA]NA me-e[NA]NA ni-qi₄-šu[NA]NA a-la-ak-tum[NA]NA ṭe-mu-um[NA]NA šu-ha-tum[NA]NA ha-ra-nu-um[NA]NA a-ru-u₄-um[NA]NA a-ra-ka-ru-u₄-um[NA]NA a-ra-hu-u₄-um[NA]NA a-ra-gu-ub-bu-um[NA]NA e-gu-mu-u₄[NA]NA x-gu-zu-u₄[NA]NA ṭa-ba-tum[NA]NA A[NA]NA el-la₂[NA]NA ha-ah-šu-tum[NA]NA
P227765,ṣiddu[proletariat]N u[and]CNJ birtu[riffraff]N ezēhu[gird-on]V kaṣāru[tie]V ebēṭu[bind?]V zāwiānu[enemy]N rēʾû[shepherd]N pirištu[secret]N tašgertu[defamation]N kīam[thus]AV maṣi[(but)-since]AV pû[mouth]N wuššuru[released]AJ pû[mouth]N ṭābu[good]AJ x-im[NA]NA ittu[sign]N ittu[sign]N lapātu[touch]V ittu[sign]N taṣbubtu[fluttering]N harrānu[way]N nasīku[that-was-cast-down]N ana[to]PRP mannu[who?]QP mati[when?]AV
