id_text,lemma
Q003414,perʾu[bud]N Baltil[Aššur]QN šūquru[very-valuable]AJ narāmu[loved-one]N {d}x[NA]NA Šerua[1]DN AB[NA]NA BA[NA]NA x[NA]NA x[NA]NA pitqu[brickwork]N Ninmena[1]DN ša[that]REL ana[to]PRP bēlūtu[rule]N mātu[land]N x[NA]NA AN[NA]NA TI[NA]NA AL[NA]NA ŠID[NA]NA x[NA]NA rabû[be(come)-big]V ana[to]PRP šarrūtu[kingship]N šakkanakku[(military)-governor]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ma[NA]NA muṣṣibu[one-who-increases]N šagigurrû[free-will-offering]N ana[to]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA šurīnu[(divine)-emblem]N zikaru[male]AJ dannu[strong]AJ nūru[light]N kiššatu[totality]N nišu[people]N etellu[pre-eminent]N x[NA]NA kalû[totality]N malku[prince]N x[NA]NA x[NA]NA ti[NA]NA dāʾipu[one-who-pushes-away]N gērû[opponent]N eṭlu[manly-one]N qardu[valiant]AJ sāpinu[flattener]N x[NA]NA nakru[enemy]N ša[that]REL huršānu[mountain(s)]N etguru[crossed-over]AJ kīma[like]PRP qû[flax]N salātu[slit]V u₂-x[NA]NA u₂[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
Q003415,qurādu[hero]N x[NA]NA kanāšu[bow-down]V šēpu[foot]N x[NA]NA ina[in]PRP kakku[stick]N maqātu[fall]V x[NA]NA mumtalku[deliberate]AJ x[NA]NA x[NA]NA x[NA]NA x[NA]NA ša[that]REL a-x[NA]NA
Q003416,x[NA]NA našāqu[kiss]V šēpu[foot]N x[NA]NA šadû[mountain]N x[NA]NA qablu[battle]N x[NA]NA eli[on]PRP gimru[totality]N šarru[king]N wāšibu[sitting]AJ parakku[dais]N x[NA]NA mumtalku[deliberate]AJ x[NA]NA ušumgallu[lion-dragon]N ṣīru[exalted]AJ x[NA]NA dadmū[villages]N
Q003417,ina[in]PRP rēšu[head]N šarrūtu[kingship]N ina[in]PRP mahrû[first]AJ palû[reign-(of-a-king)]N ina[in]PRP 5[NA]NA warhu[month]N ša[that]REL ina[in]PRP kussû[chair]N šarrūtu[kingship]N rabîš[magnificently]AV wašābu[sit-(down)]V Aššur[1]DN bēlu[lord]N takālu[trust]V ana[to]PRP Hamaranu[1]EN Luhuʾatu[1]EN Haṭallu[1]EN Rubbu[1]EN Rapiqu[1]EN Hiranu[1]EN Rabi-ilu[1]EN Naṣiru[1]EN Gulusu[1]EN Nabatu[1]EN Liʾtaʾu[1]EN Rahiqu[1]EN Kapiru[1]EN Rummulutu[1]EN Adile[1]EN Gibre[1]EN Ubudu[1]EN Gurumu[1]EN
Q003418,x[NA]NA zaʾānu[be(come)-adorned]V ana[to]PRP mātu[land]N alāku[go]V ālu[city]N šuātunu[those]IP ana[to]PRP eššūtu[newness]N epēšu[do]V ina[in]PRP muhhu[skull]N tīlu[(ruin)-mound]N kamru[piled-up]AJ ša[that]REL Humut[1]SN qabû[say]V ālu[city]N epēšu[do]V ištu[from]PRP uššu[foundation]N adi[until]PRP gabadibbu[parapet]N raṣāpu[erect]V šuklulu[complete]V ēkallu[palace]N mūšabu[dwelling]N šarrūtu[kingship]N ina[in]PRP libbu[interior]N nadû[throw-(down)]V Kar-Aššur[1]SN šumu[name]N nabû[name]V kakku[stick]N Aššur[1]DN bēlu[lord]N ina[in]PRP libbu[interior]N ramû[set-in-place]V nišu[people]N mātu[land]N kišittu[achievement]N qātu[hand]N ina[in]PRP libbu[interior]N wašābu[sit-(down)]V biltu[load]N maddattu[payment]N kânu[be(come)-permanent]V itti[with]PRP nišu[people]N mātu[land]N Aššur[Assyria]GN manû[count]V Patti-Enlil[1]WN ša[that]REL ištu[from]PRP ūmu[day]N rūqu[distant]AJ nadû[placed]AJ x[NA]NA herû[dig]V ina[in]PRP qerbu[centre]N habābu[murmur]V mû[water]N nuhšu[abundance]N x[NA]NA ištu[from]PRP Dur-Kurigalzu[1]SN Sippar[1]SN ša[of]DET Šamaš[1]DN x[NA]NA Nasikku[1]EN Naqru[1]EN Tane[1]EN Kalaʾin[1]SN Šumandar[1]WN Paṣitu[1]SN ša[of]DET Dunanu[1]EN Qirbutu[1]GN x[NA]NA Adile[1]EN Budu[1]GN Pahhaz[1]SN Qin-Nippur[1]GN ālu[city]N ša[of]DET Karduniaš[Babylonia]GN adi[until]PRP libbu[interior]N Uqnu[1]WN ša[that]REL ahu[arm]N tiāmtu[sea]N šaplû[lower]AJ bêlu[rule-(over)]V ana[to]PRP miṣru[border]N mātu[land]N Aššur[Assyria]GN târu[turn]V šūt[who(m)]DET rēšu[head]N bēlu[lord]N pīhātu[post]N eli[on]PRP šakānu[put]V ištu[from]PRP libbu[interior]N immeru[sheep]N ṣibtu[interest]N ša[that]REL šattišamma[year-by-year]AV ṣabātu[seize]V 2[NA]NA meʾatu[(one)-hundred]NU 40[NA]NA immeru[sheep]N kadrû[present]N ana[to]PRP Aššur[1]DN bēlu[lord]N rakāsu[tie]V ištu[from]PRP Aramu[Aramean]EN šuātunu[those]IP ša[that]REL šalālu[carry-off]V x[NA]NA x[NA]NA līm[thousand]NU pīhātu[post]N tartānu[(a-high-military-official)]N 10[NA]NA līm[thousand]NU pīhātu[post]N nāgiru[(town)-crier]N ēkallu[palace]N x[NA]NA x[NA]NA līm[thousand]NU pīhātu[post]N rabû[great]AJ šāqû[giver-to-drink]N x[NA]NA x[NA]NA līm[thousand]NU pīhātu[post]N Barhalzi[1]GN 5[NA]NA līm[thousand]NU pīhātu[post]N Mazamua[1]GN parāsu[stop]V wašābu[sit-(down)]V pû[mouth]N ištēn[one]NU šakānu[put]V itti[with]PRP nišu[people]N mātu[land]N Aššur[Assyria]GN manû[count]V nīru[yoke]N Aššur[1]DN bēlu[lord]N kī[like]PRP ša[of]DET Aššuru[Assyrian]EN emēdu[lean-on]V dadmū[villages]N nadû[placed]AJ ša[of]DET perku[transversal]N mātu[land]N ša[that]REL ina[in]PRP tarṣu[before]N šarru[king]N abu[father]N arbūtu[desolation]N alāku[go]V
Q003419,ana[to]PRP eššūtu[newness]N kašāru[restore]V mātu[land]N Aššur[Assyria]GN ana[to]PRP x[NA]NA ālu[city]N epēšu[do]V ēkallu[palace]N mūšabu[dwelling]N šarrūtu[kingship]N ina[in]PRP libbu[interior]N nadû[throw-(down)]V x[NA]NA šumu[name]N nabû[name]V kakku[stick]N Aššur[1]DN bēlu[lord]N ina[in]PRP libbu[interior]N ramû[set-in-place]V nišu[people]N mātu[land]N kišittu[achievement]N qātu[hand]N ina[in]PRP libbu[interior]N wašābu[sit-(down)]V biltu[load]N maddattu[payment]N kânu[be(come)-permanent]V itti[with]PRP nišu[people]N mātu[land]N Aššur[Assyria]GN manû[count]V ṣalmu[effigy]N šarrūtu[kingship]N u[and]CNJ ṣalmu[effigy]N ilu[god]N rabû[great]AJ bēlu[lord]N epēšu[do]V lītu[victory]N u[and]CNJ danānu[power]N ša[that]REL ina[in]PRP zikru[utterance]N Aššur[1]DN bēlu[lord]N eli[on]PRP mātu[land]N šakānu[put]V ina[in]PRP muhhu[skull]N šaṭāru[write]V ina[in]PRP x[NA]NA izuzzu[stand]V x[NA]NA 10[NA]NA biltu[load]N hurāṣu[gold]N ina[in]PRP dannu[strong-one]N 1[NA]NA līm[thousand]NU biltu[load]N kaspu[silver]N x[NA]NA maddattu[payment]N mahāru[face]V ina[in]PRP 2[NA]NA palû[reign-(of-a-king)]N Aššur[1]DN bēlu[lord]N takālu[trust]V ana[to]PRP Namri[1]GN x[NA]NA Bit-Zatti[1]GN Bit-Abdadani[1]GN Bit-Sangibuti[1]GN x[NA]NA alāku[go]V x[NA]NA akāmu[dust-cloud]N gerru[way]N amāru[see]V Nikur[1]SN ālu[city]N dannūtu[strength]N wašāru[sink-down]V x[NA]NA zanānu[rain]V Nikurayu[of-Nikur]EN kakku[stick]N x[NA]NA sisû[horse]N parû[mule]N alpu[ox]N x[NA]NA Sassiašu[1]SN Tutašdi[1]SN x[NA]NA
Q003420,x[NA]NA Kušianaš[1]SN Haršu[1]SN Šanaštiku[1]SN Kiškitara[1]SN Haršaya[1]SN Ayubak[1]SN x[NA]NA šadû[mountain]N ša[of]DET Halihadri[1]GN ubānu[finger]N šadû[mountain]N šaqû[high]AJ ṣabātu[seize]V warki[after]PRP redû[accompany]V dabdû[defeat]N šakānu[put]V x[NA]NA hurru[hole]N šadû[mountain]N erēbu[enter]V ina[in]PRP gīru[fire(-god)]N qamû[burn-(up)]V Uzhari[1]SN ša[of]DET Bit-Zatti[1]GN lawû[surround]V kašādu[reach]V Kaki[Iranian-ruler]RN x[NA]NA Kitpattia[1]SN ša[of]DET Bit-Abdadani[1]GN ša[that]REL Tunaku[Iranian-ruler]RN ekēmu[take-away]V lawû[surround]V kašādu[reach]V šallatu[plundered-thing(s)]N šalālu[carry-off]V x[NA]NA Nikur[1]SN adi[until]PRP ālu[city]N ša[of]DET liwītu[packaging]N ana[to]PRP eššūtu[newness]N epēšu[do]V nišu[people]N mātu[land]N kišittu[achievement]N qātu[hand]N ina[in]PRP libbu[interior]N wašābu[sit-(down)]V x[NA]NA šūt[who(m)]DET rēšu[head]N bēlu[lord]N pīhātu[post]N eli[on]PRP šakānu[put]V Bit-Kapsi[1]GN Bit-Sangi[1]GN Bit-Urzakki[1]GN kīma[like]PRP sapāru[(deity's)-net]N sahāpu[envelop]V dīktu[fighting]N mādu[many]AJ dâku[kill]V x[NA]NA ana[to]PRP zaqīpu[stake]N elû[go-up]V šittu[remnant]N mundahṣu[fighting-one]N rittu[hand]N nakāsu[cut]V ina[in]PRP qerbu[centre]N mātu[land]N wašāru[sink-down]V x[NA]NA udru[Bactrian-camel]N alpu[ox]N ṣēnu[flock]N ummānu[military-force]N ana[to]PRP lā[not]MOD mānu[counting]N leqû[take]V Mitaki[ruler-of-Uršanika-and-Kianpal]RN x[NA]NA Uršanika[1]SN erēbu[enter]V Uršanika[1]SN Kianpal[1]SN kašādu[reach]V šâšu[him]IP aššatu[wife]N māru[son]N mārtu[daughter]N x[NA]NA ālu[city]N šuātunu[those]IP adi[until]PRP ālu[city]N ša[of]DET liwītu[packaging]N napālu[dig-out]V naqāru[demolish]V ina[in]PRP išātu[fire]N šarāpu[burn]V Batanu[ruler-of-Bit-Kaspi]RN māru[son]N Bit-Kapsi[1]GN x-tu[NA]NA kanāšu[bow-down]V našû[lift]V tupšikku[hod-(for-carrying-bricks)]N ana[to]PRP lā[not]MOD sapāhu[scatter]V nagû[region]N Karkarihundir[1]SN ezēbu[leave]V x[NA]NA eli[on]PRP šakānu[put]V Erinziašu[1]SN ša[that]REL itti[with]PRP Bisihadir[ruler-of-Kišesu]RN Kišesayu[of-Kišesu]EN nabalkutu[cross-over]V kašādu[reach]V
Q003421,šallatu[plundered-thing(s)]N šalālu[carry-off]V Ramateia[ruler-of-Araziaš]RN ša[of]DET Araziaš[1]GN x[NA]NA šū[he]IP hallālāniš[like-a-centipede]AV naparšudu[flee]V mamman[somebody]XP lā[not]MOD amāru[see]V ašru[place]N x[NA]NA sisû[horse]N alpu[ox]N ṣēnu[flock]N uqnû[lapis-lazuli]N hīpu[break(age)]N šadû[mountain]N x[NA]NA ilu[god]N rabû[great]AJ bēlu[lord]N naqû[pour-(a-libation)]V Tuni[ruler-of-Sumurzu]RN Sumurzayu[of-Sumurzu]EN x[NA]NA x[NA]NA kašādu[reach]V mundahṣu[fighting-one]N ana[to]PRP zaqīpu[stake]N elû[go-up]V x[NA]NA Sumurzu[1]GN Bit-Hamban[1]GN ana[to]PRP miṣru[border]N mātu[land]N Aššur[Assyria]GN târu[turn]V x[NA]NA nišu[people]N mātu[land]N kišittu[achievement]N qātu[hand]N ina[in]PRP libbu[interior]N wašābu[sit-(down)]V šūt[who(m)]DET rēšu[head]N bēlu[lord]N pīhātu[post]N eli[on]PRP šakānu[put]V x[NA]NA ana[to]PRP Aššur[1]DN bēlu[lord]N rakāsu[tie]V Kizauti[1]SN ša[that]REL ina[in]PRP x[NA]NA napālu[dig-out]V naqāru[demolish]V ina[in]PRP išātu[fire]N šarāpu[burn]V ša[of]DET bēlu[lord]N ālu[city]N lā[not]MOD kanšu[submissive]AJ x[NA]NA 3[NA]NA meʾatu[(one)-hundred]NU biltu[load]N uqnû[lapis-lazuli]N 5[NA]NA meʾatu[(one)-hundred]NU biltu[load]N bil[NA]NA in-zu[NA]NA siparru[bronze]N x[NA]NA maddattu[payment]N ša[of]DET Mannu-ki-ṣabi[ruler-of-Bit-Abdadani]RN māru[son]N Bit-Abdadani[1]GN x[NA]NA Miki[ruler-of-Halpi-x-x]RN ša[of]DET Halpi-x-x[1]SN x[NA]NA Uzakku[city-ruler]RN ša[of]DET {URU}x[NA]NA
Q003422,x[NA]NA nišu[people]N ana[to]PRP mātu[land]N Aššur[Assyria]GN warû[lead]V x[NA]NA x[NA]NA ina[in]PRP 3[NA]NA palû[reign-(of-a-king)]N Aššur[1]DN bēlu[lord]N takālu[trust]V x[NA]NA x[NA]NA x[NA]NA ba-ʾa-x[NA]NA e[NA]NA ma[NA]NA x[NA]NA ti[NA]NA x[NA]NA DIŠ[NA]NA x[NA]NA x[NA]NA Sulumal[king-of-Melid]RN Meliddayu[of-Melid]EN Tarhulara[king-of-Gurgum]RN Gurgumayu[of-Gurgum]EN x[NA]NA x[NA]NA x[NA]NA mātitān[all-countries]N ana[to]PRP emūqu[strength]N ahāmiš[one-another]RP takālu[trust]V x[NA]NA x[NA]NA ina[in]PRP lītu[victory]N u[and]CNJ danānu[power]N ša[of]DET Aššur[1]DN bēlu[lord]N itti[with]PRP mahāṣu[beat]V dīktu[fighting]N dâku[kill]V x[NA]NA x[NA]NA qurādu[hero]N dâku[kill]V hurru[hole]N natbāku[pouring]N šadû[mountain]N malû[be(come)-full]V narkabtu[chariot]N x[NA]NA x-šu₂-nu[NA]NA ana[to]PRP lā[not]MOD mānu[counting]N leqû[take]V ina[in]PRP qablu[hips]N tidūku[battle]N ša[of]DET Ištar-duri[Sarduri-II-king-of-Urarṭu]RN DIŠ[NA]NA GIŠ[NA]NA x[NA]NA x[NA]NA ina[in]PRP qātu[hand]N ṣabātu[seize]V 70[NA]NA līm[thousand]NU 2[NA]NA līm[thousand]NU 9[NA]NA meʾatu[(one)-hundred]NU 50[NA]NA x[NA]NA x[NA]NA x-šu₂-nu[NA]NA ištu[from]PRP pu-x[NA]NA x[NA]NA Ištar-duri[Sarduri-II-king-of-Urarṭu]RN ana[to]PRP ezēbu[leave]V napištu[throat]N mūšiš[at-night]AV halāqu[be(come)-lost]V lāma[before]PRP šamšu[sun]N urruhiš[speedily]AV naprušu[fly]V x[NA]NA x[NA]NA itti[with]PRP šiltāhu[arrow]N pāriʾu[one-who-cuts-through]N napištu[throat]N adi[until]PRP titūru[causeway]N Purattu[Euphrates]WN miṣru[border]N mātu[land]N ṭarādu[send]V eršu[bed]N x[NA]NA x[NA]NA ša[that]REL šadādu[drag]V šarrūtu[kingship]N kunukku[seal]N kišādu[neck]N adi[until]PRP abnu[stone]N kišādu[neck]N narkabtu[chariot]N šarrūtu[kingship]N x[NA]NA x.MEŠ-šu₂-nu[NA]NA mimma[anything]XP šumu[name]N mādu[many]AJ ša[that]REL nību[naming]N lā[not]MOD išû[have]V ekēmu[take-away]V sisû[horse]N ANŠE.x[NA]NA x-e-šu₂[NA]NA ummiānu[investor]N ana[to]PRP lā[not]MOD mānu[counting]N leqû[take]V bītu[house]N ṣēru[back]N kuštāru[tent]N šarrūtu[kingship]N x[NA]NA x[NA]NA unūtu[merchandise]N tāhāzu[battle]N mādu[many]AJ ina[in]PRP qerbu[centre]N ušmannu[camp]N ina[in]PRP išātu[fire]N šarāpu[burn]V {GIŠ}x[NA]NA x[NA]NA x[NA]NA eršu[bed]N ana[to]PRP Ištar[1]DN šarratu[queen]N Ninua[Nineveh]SN qiāšu[give]V x[NA]NA
Q003423,x[NA]NA Alinziranu[1]SN Tašliana[1]SN Tirhim[1]SN adi[until]PRP Sinia[1]GN šadû[mountain]N kašādu[reach]V ina[in]PRP muhhu[skull]N pīhātu[post]N rabû[great]AJ šāqû[giver-to-drink]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA ištu[from]PRP Ququsanšu[1]SN Barzunna[1]SN adi[until]PRP Harabisinna[1]SN Abbissa[1]SN Tasa[1]SN adi[until]PRP Uluruš[1]GN eli[on]PRP piātu[edge]N ša[of]DET Idiqlat[Tigris]WN Lusia[1]GN mātu[land]N abāru[(the-metal)-lead]N Amadinu[1]GN x[NA]NA Qilissa[1]SN Ezzeda[1]SN
Q003424,Bit-Agusi[1]GN x[NA]NA ina[in]PRP libbu[interior]N x[NA]NA x[NA]NA ša[of]DET Matiʾ-il[king-of-Arpad]RN x[NA]NA ina[in]PRP muhhu[skull]N šakānu[put]V ša[of]DET Rahianu[Rezin-king-of-Damascus]RN x[NA]NA x[NA]NA x[NA]NA EŠ₂₁[NA]NA biltu[load]N hurāṣu[gold]N 3[NA]NA meʾatu[(one)-hundred]NU biltu[load]N kaspu[silver]N 2[NA]NA meʾatu[(one)-hundred]NU biltu[load]N x[NA]NA x[NA]NA 20[NA]NA biltu[load]N ladinnu[(an-aromatic)]N 3[NA]NA meʾatu[(one)-hundred]NU x[NA]NA x[NA]NA 30[NA]NA x[NA]NA Kuštašpi[king-of-Kummuhu]RN Kummuhayu[of-Kummuhu]EN x[NA]NA Ṣurrayu[of-Tyre]EN Urikki[1]PN Quayu[of-Que]EN x[NA]NA Pisiris[king-of-Carchemish]RN Gargamišayu[of-Carchemish]EN Tarhulara[king-of-Gurgum]RN Gurgumayu[of-Gurgum]EN x[NA]NA parzillu[iron]N mašku[skin]N pīru[elephant]N šinnu[tooth]N pīru[elephant]N argamannu[purple]N x[NA]NA
