id_text,lemma
P224378,ardu[slave]N {1}x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ana[to]PRP dinānu[substitution]N šarru[king]N bēlu[lord]N alāku[go]V umma[saying]PRP ana[to]PRP šarru[king]N bēlu[lord]N ana[to]PRP šarru[king]N bēlu[lord]N šapāru[send]V umma[saying]PRP minamma[why?]QP epēšu[do]V o[NA]NA ša[that]REL ana[to]PRP šarru[king]N qabû[say]V umma[saying]PRP Bel[1]DN qabû[say]V umma[saying]PRP šarrūtu[kingship]N našû[lift]V ana[to]PRP pû[mouth]N mannu[who?]QP šalânū-[without]PRP šarrūtu[kingship]N našû[lift]V x[NA]NA x[NA]NA šarrūtu[kingship]N našû[lift]V ina[in]PRP mahrû[first]AJ ummiānu[scholar]N šarru[king]N qabû[say]V umma[saying]PRP šarrūtu[kingship]N epēšu[do]V šarru[king]N šapāru[send]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA šarru[king]N šapāru[send]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-ma-nu[NA]NA ša[that]REL ištu[from]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x-da-as-su-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x-ti[NA]NA enna[now]AV x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA sūnu[loin]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x-šu₂[NA]NA ina[in]PRP ālu[city]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA e[NA]NA ta[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA ul[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P224379,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N {1}x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ina[in]PRP muhhu[skull]N qerītu[banquet]N ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP lū[may]MOD x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA dullu[trouble]N kī[like]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x-ni[NA]NA e-mur-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x-MAN-PAB[NA]NA zakû[be(come)-clear]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA dullu[trouble]N ša[of]DET x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ana[to]PRP muhhu[skull]N ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP ina[in]PRP muhhu[skull]N {1}u₂-x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x-MEŠ[NA]NA alāku[go]V ur[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA {LU₂}sa-x[NA]NA x[NA]NA ni[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x-sa-ma[NA]NA bītu[house]N x[NA]NA ma[NA]NA x[NA]NA ni[NA]NA ši[NA]NA x[NA]NA ša[that]REL x[NA]NA x+x[NA]NA qaqqaru[ground]N kullu[hold]V x[NA]NA x[NA]NA x+x[NA]NA akālu[eat]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA mādu[many]AJ x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P224380,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N {1}x[NA]NA x[NA]NA x[NA]NA lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ṣarpu[silver]N ša[that]REL šarru[king]N bēlu[lord]N tadānu[give]V mā[saying]PRP x[NA]NA x[NA]NA ana[to]PRP Kummaya[Kummean]EN x[NA]NA i[NA]NA x[NA]NA x[NA]NA ṣābu[people]N kī[like]PRP libbu[interior]N ina[in]PRP mātu[land]N sahāru[go-around]V x[NA]NA ṣābu[people]N rēhu[remaining]AJ išti[with]PRP ša-qurbūti[close-follower]N ina[in]PRP muhhu[skull]N šarru[king]N bēlu[lord]N šapāru[send]V
P224381,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Mannu-ki-Aššur[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ana[to]PRP muhhu[skull]N x[NA]NA x[NA]NA x-a-ni[NA]NA ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V umma[saying]PRP adû[now]AV x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA ana[to]PRP pānu[front]N x[NA]NA x[NA]NA x[NA]NA x+x-ma[NA]NA zēru[seed(s)]N elû[go-up]V x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-nu-u₂[NA]NA enna[now]AV x[NA]NA x[NA]NA x[NA]NA x-su-nu-ti-ma[NA]NA ina[in]PRP x[NA]NA x{KI}[NA]NA anāku[I]IP adû[now]AV ina[in]PRP x[NA]NA x[NA]NA maṣṣartu[observation]N ušuzzāyu[standing]AJ x[NA]NA maṣṣartu[observation]N naṣāru[guard]V
P224382,ṭuppu[tablet]N Data[1]PN ana[to]PRP Šumu-iddina[1]PN ahu[brother]N Mulliltu[1]DN u[and]CNJ Ištar[1]DN Babili[Babylon]GN šulmu[completeness]N mātu[land]N ša[of]DET ahu[brother]N qabû[say]V ūmussu[daily]AV Mulliltu[1]DN u[and]CNJ Ištar[1]DN Babili[Babylon]GN ana[to]PRP balāṭu[live]V napištu[throat]N ša[of]DET ahu[brother]N ṣullû[beseech]V ana[to]PRP mīnu[what?]QP mala[as-much-as]REL agâ[this]DP ūmu[day]N māru[son]N šipru[sending]N lā[not]MOD amāru[see]V enna[now]AV kī[like]PRP balṭu[living]AJ ittu[peculiarity]N miṭītu[decrease]AJ ramû[slacken]V raqādu[dance]V Gaga[1]PN mītu[dead]AJ u[and]CNJ ahu[brother]N dalhu[troubled]AJ alāku[go]V amāru[see]V kī[like]PRP naquttu[critical-situation]N šapāru[send]V hamṭiš[quickly]AV kašādu[reach]V Mulliltu[1]DN u[and]CNJ Ištar[1]DN Babili[Babylon]GN lū[may]MOD wadû[know]V kī[like]PRP ūmussu[daily]AV itti[with]PRP duluhtu[concern]N ina[in]PRP niphu[(the-act-of)-lighting]N libbu[interior]N lā[not]MOD taklu[reliable]AJ ilu[god]N Šulluma[1]PN šulmu[completeness]N ša[of]DET Šumu-iddina[1]PN ahu[brother]N šâlu[ask]V
P224383,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N {1}{d}x[NA]NA x[NA]NA x[NA]NA lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N rabû[big-one]N ālu[city]N x+x[NA]NA x[NA]NA x[NA]NA šinīšu[twice]AV ṣābu[people]N šarru[king]N išti[with]PRP {1}x[NA]NA x[NA]NA Hallusu[1]PN o[NA]NA ardu[slave]N ša[of]DET Nabu-kenu-uṣur[1]PN pīhātu[responsibility]N ša[of]DET Tille[1]GN halāqu[be(come)-lost]V ana[to]PRP Upumu[1]GN našû[lift]V adi[until]PRP šâlu[ask]V uṣṣuṣu[interrogate]V rādiu[(caravan)-guide]N redû[accompany]V ša[that]REL ana[to]PRP Šubria[1]GN harrānu[road]N šakānu[put]V ṣabātu[seize]V ana[to]PRP rādiu[(caravan)-guide]N kibsu[track]N māru[son]N šipru[sending]N tadānu[give]V muk[saying]PRP alāku[go]V amāru[see]V pitti[just-as]AV šū[he]IP ina[in]PRP pānu[front]N šarru[king]N qabû[say]V ulâ[or]AV annaka[here]AV buʾʾû[look-for]V Šubriaya[Šubrian]EN ištu[from]PRP pānu[front]N rādiu[(caravan)-guide]N kibsu[track]N pazāru[hide-o.s.]V mā[saying]PRP awīlu[man]N laššu[(there)-is-not]V ina[in]PRP pānu[front]N ardu[slave]N ša[of]DET Nabu-kenu-uṣur[1]PN etēqu[proceed]V mā[saying]PRP dullu[trouble]N awīlu[man]N našû[lifted]AJ mā[saying]PRP kūdanu[mule]N tadānu[give]V Šubriaya[Šubrian]EN lā[not]MOD magāru[consent]V rabû[big-one]N ālu[city]N lā[not]MOD tadānu[give]V ša[that]REL halāqu[be(come)-lost]V Šubriaya[Šubrian]EN bēlu[lord]N ṭābtu[goodness]N šū[he]IP ina[in]PRP muhhu[skull]N šarru[king]N bēlu[lord]N wabālu[bring]V šarru[king]N bēlu[lord]N šâlu[ask]V adi[until]PRP alāku[go]V wabālu[bring]V
P224385,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA li[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA ina[in]PRP muhhu[skull]N {1}x-ra-pa-aʾ[NA]NA {LU₂}x+x[NA]NA x[NA]NA ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA ardu[slave]N {1}x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA aššatu[wife]N ša[of]DET Bel-iddina[1]PN x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA mu-x[NA]NA x[NA]NA di[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA {LU₂}a-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA DUB[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA ia[NA]NA da-bu-x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA 12[NA]NA gammalu[camel]N x[NA]NA x[NA]NA x[NA]NA x-zi-ti[NA]NA {MI₂}x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ul-ta[NA]NA KUR[NA]NA MI₂[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x+x[NA]NA x[NA]NA bi[NA]NA {1}qa-x+x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x+x[NA]NA x+x-a[NA]NA ana[to]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA si[NA]NA kal-lim[NA]NA i-na-x[NA]NA Lu-gamil[1]PN {LU₂}ša₂-AMAR-{d}IM[NA]NA Bel-hutu[1]PN māru[son]N Bel-iddina[1]PN x[NA]NA {MI₂}TIN.TIR{KI}-a-a-x[NA]NA x[NA]NA aššatu[wife]N Marduk-šallimanni[1]PN Yansiatu[1]PN x[NA]NA amtu[maid]N ša[of]DET {1}bi-x-ri-x[NA]NA {1}x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA awātu[word]N {MI₂}kaš-ša₂-x[NA]NA x[NA]NA x[NA]NA amtu[maid]N ša[of]DET Pî-itarru[1]PN ardu[slave]N Marduk-šallimanni[1]PN ša[of]DET Dur-Balihaya[1]GN x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA {1}{d}x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P224386,awātu[word]N šarru[king]N ana[to]PRP Aššur-belu-taqqin[1]PN ummiānu[scholar]N ša[of]DET ēkallu[palace]N lū[may]MOD Aššuraya[Assyrian]EN lū[may]MOD Armaya[Aramean]EN ša[that]REL ana[to]PRP mātu[land]N balāṭu[live]V ana[to]PRP mātu[land]N alāku[go]V māru[son]N šipru[sending]N ina[in]PRP nagû[region]N gabbu[totality]N šapāru[send]V bīt[where]SBJ šunu[they]IP gabbu[totality]N pahāru[gather]V ina[in]PRP muhhu[skull]N wabālu[bring]V pēthallu[riding-horse]N Ituʾaya[Itu'ean]EN išti[with]PRP paqādu[entrust]V ša[that]REL Dur-Bel-ilaʾi[1]GN etēqu[proceed]V atta[you]IP wadû[know]V ūmu[day]N ša[of]DET iškāru[work-assignment]N emēdu[lean-on]V erēbu[enter]V
P224387,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA ana[to]PRP šarru[king]N bēlu[lord]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x-ni[NA]NA agâ[this]DP {KUR}x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA annû[this]DP ga[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ana[to]PRP šarru[king]N bēlu[lord]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA akanna[here]AV ina[in]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ina[in]PRP x[NA]NA x[NA]NA Marduk[1]DN x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA hi[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA adi[until]PRP x+x[NA]NA x[NA]NA adi[until]PRP x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA adi[until]PRP ana[to]PRP bītu[house]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ina[in]PRP libbu[interior]N ṣābu[people]N x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA šarru[king]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA šu₂[NA]NA u[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ul[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ištu[from]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA itti[with]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA {1}ṣa-x[NA]NA x[NA]NA x[NA]NA x[NA]NA 20[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA 40[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA umma[saying]PRP x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ka[NA]NA sisû[horse]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA a-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P224388,x[NA]NA x[NA]NA x[NA]NA x+x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA an[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA qabû[say]V x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA māru[son]N Mukin-zeri[1]PN x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ina[in]PRP Hagaranu[1]GN x[NA]NA x[NA]NA u[and]CNJ ṣābu[people]N x+x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ištu[from]PRP libbu[interior]N Hamete[1]GN x+x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA aṣû[go-out]V ina[in]PRP pānu[front]N alāku[go]V harāpu[be(come)-early]V alāku[go]V nišu[people]N annû[this]DP ša[that]REL šuglû[deported]AJ ina[in]PRP Barsip[Borsippa]GN x[NA]NA x[NA]NA x+x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA ši[NA]NA x+x[NA]NA x+x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ka[NA]NA x+x[NA]NA x+x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA gabbu[totality]N galû[be(come)-deported]V šarru[king]N lū[may]MOD wadû[know]V Elamaya[Elamite]EN ṣābu[people]N išti[with]PRP māru[son]N Mukin-zeri[1]PN lā[not]MOD dâku[kill]V u[and]CNJ ša-danāni[by-force]AV galû[be(come)-deported]V šunu[they]IP galû[be(come)-deported]V ṭēmu[(fore)thought]N o[NA]NA ša[of]DET Liʾtamu[1]EN o[NA]NA Gaʾamanu[1]PN māru[son]N x[NA]NA x[NA]NA x[NA]NA ša[that]REL ina[in]PRP libbu[interior]N ahu[brother]N x[NA]NA x[NA]NA išti[with]PRP māru[son]N šipru[sending]N ša[of]DET {1}x[NA]NA x[NA]NA x[NA]NA x[NA]NA x+x[NA]NA x+x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
